Key,SourceString
AQ_016_1,"Ghost Tomato Army"
AQ_016_3,"Witch Gretzel"
AQ_017_3,"Great Argon Lizard"
AQ_018_3,"Gorius' Vengeance & Wizard Kirgyl"
AQ_018_3＿BATTLENAME,"Gorius' Vengeful Spirits"
AQ_019_1,"Man-Eating Dolls"
AQ_019_2,"Halberdsaurus"
AQ_019_3,"Evil Swordsman Tegram"
KQ_111_1,"Double Gaia Dragon"
KQ_111_2,"Volcanic Dragon"
KQ_111_3_1,"Giga Clubber"
KQ_111_3_2,"Mad Giga Clubber"
KQ_111_4_1,"Ace"
KQ_111_4_2,"Ace and co."
KQ_131_1,"Sir Man o' War"
GK_001,"Biggy Sanguini"
GK_002,"Jungle Guardian & Jungle Hunter"
GK_002_BATTLENAME,"Guardians of the Jungle"
GK_003,"Glacial Golem"
GK_003_BATTLENAME,"Glacial Golem and co."
GK_004,"Abyss Soldier"
GK_004_BATTLENAME,"Abyss Soldiers"
GK_005,"Bunicorn Queen"
GK_005_BATTLENAME,"Dark Hares"
GK_006,"Giga Needleman"
GK_007,"Mohawker & Buffalogre"
GK_007_BATTLENAME,"The Mo-Hawks"
GK_008,"Zedragon"
GK_008_BATTLENAME,"Zedragon and co."
GK_009,"Sea Breeze Diva"
GK_009_BATTLENAME,"Sea Breeze Divas"
GK_010,"The Glows"
GK_TITLE,"Gate of Trials"
MS_2_0_1,"Demon's Right Hand"
MS_2_0_2,"Genie Enraja & Muccino"
MS_2_0_2_BATTLENAME,"Genie Enraja & co."
MS_2_0_3,"Sin King Bermud"
MS_2_0_4,"Statue of Despair"
MS_2_0_5,"Demonic Soldier Gezra"
MS_2_0_6,"Demonic Soldier Grimos"
MS_2_0_7,"Demonic Captain Bassler"
MS_2_0_8,"Evil Hero Anlucia"
MQ_001_3,"Naughty Jammy & Naughty Berty"
MQ_001_3_BATTLENAME,"Naughty Bunnies"
MQ_001_5,"Heart-Boiled"
MQ_002_5,"Heretical Hierarch Sadak"
MQ_003_4,"Sweet Troll"
MQ_003_5,"Three Hole Filling Siblings"
MQ_006_1,"Demon Servant"
MQ_006_1_BATTLENAME,"Hell Battlers"
MQ_009_1,"Grave Digger"
MQ_010_1,"Beast General Gullray"
MQ_020_1,"Abominable Showman"
MQ_021_1,"Toxic Loon"
MQ_022_1,"Lord Magmoai"
MQ_017_1,"Phantom General Phasma"
MQ_015_1,"Demon General Gejura"
MQ_016_1,"Generals Belinda & Brenda"
MQ_016_1_BATTLENAME,"Demon Generals"
MS_2_2_1,"Dread Incarnate"
MQ_024_1,"The Flying Dragons"
MQ_025_3,"Sorcery Demon Bezebu"
MS_2_3_1,"Wild Fauvism"
MS_2_3_2,"Evil Cubism"
MS_2_3_3,"Dark Realism"
MS_2_3_4,"Marshal Zeldrad"
MS_2_4_1,"Prince Toma"
MS_2_4_2,"Great Demon King Madesagora"
MS_2_4_3,"Worldmaker Madesagora"
KQ_138_1,"Big Bang Rock"
HQ_001_2_1,"Seal Demon Vogel"
HQ_001_2_2,"Trial Beasts"
NCOL_01,"Dark Nebulus"
NCOL_02,"★ Monster ★ Idols ★"
NCOL_03,"Beautiful Witch Duo"
NCOL_04,"Hell's Labor Union"
NCOL_05,"The Flying Dragons"
NCOL_06,"The Super Slimes"
NCOL_07,"Fear! Huge Weapon of Death"
NCOL_08,"True Evil Trinity"
NCOL_09,"3 Legendary True Evils"
NCOL_10,"Infinite Seaweed"
QUESTION_3,"???"
