Key,SourceString
MESSAGE_NO_ITEM_HPHEAL,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_HPHEAL_SOMYA,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_HPHEAL_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_MPHEAL,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_REVIVE,""
MESSAGE_NO_ITEM_CURE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_DAMAGE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_ITEM_DAMAGE_MYSELF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_ITEM_HPHEAL_WEAPON,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_CURE_WEAPON,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_DEBUFF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_W_BUFF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_ITEM_W_BUFF_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_KOUGEKI,"Miss! I can't give her damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE,"We didn't hear from the <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE2,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE_MYSELF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE_MYSELF2,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_DEBUFF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_BUFF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_BUFF_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DEATH,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_HPHEAL,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_HPHEAL_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_CURE_STATUS,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_REVIVE,""
MESSAGE_NO_JUMON_MPABSORB,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_MADANTE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_MM_MADANTE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_MEGANTE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_JUMON_MEGAZARU,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_TRAP,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE_TRAP_AGT,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_TRAP_AGT,""
MESSAGE_NO_JUMON_HPHEAL_BEHOMA,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE2,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_NOCAST,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_NOCAST2,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF,"Miss! I can't give her damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2_NOCAST,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF3_NOCAST,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_MPDAMAGE,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_MPDAMAGE_NOCAST,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_BUFF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BUFF_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BUFF_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BUFF_MYSELF_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BUFF_MYSELF2_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BUFF_MYSELF_TIKARANOTATE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF,"The It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF2,"The It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF_NOCAST,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF_MYSELF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF_MYSELF_NOCAST,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_DEBUFF2_MYSELF_NOCAST,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_CURE_STATUS_MYSELF_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_HPHEAL_TUE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_MPHEAL_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_MPHEAL_MYSELF_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_HPHEAL_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_HPHEAL_NOCAST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_REVIVE,""
MESSAGE_NO_SKILL_REVIVE_MYSELF,""
MESSAGE_NO_SKILL_BUFF_GENMAKAIHOU,""
MESSAGE_NO_SKILL_TENSION_NOCAST,""
MESSAGE_NO_SKILL_MEISOU,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_OTAKEBI,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_OTAKEBI_NOCAST,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_MAHOUJIN,""
MESSAGE_NO_SKILL_HANAFUBUKI,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_NAGIHARAI_NOCAST,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_RENGEKINAGIHARAI,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_ODORI,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_DAMAGE_ODORI_TARGET,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_KABAU_NOCAST,""
MESSAGE_NO_SKILL_OHARAI,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_SEIJONOMAMORI,""
MESSAGE_NO_SKILL_NUSUMU,"<%sB_ACTOR> couldn't steal anything!"
MESSAGE_NO_SKILL_BANANATRAP,"But we couldn't stay here!"
MESSAGE_NO_SKILL_BANANATRAP_HIT,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_MIYABURU_B,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_MEGABOMBER,"But nothing happened!"
MESSAGE_NO_SKILL_BOKE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_TUKKOMI_NOCAST,"But <%sB_TARGET> couldn't decide on a tsukkomi!"
MESSAGE_NO_SKILL_HUSTLEDANCE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_HPPASSER,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_MPPASSER,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_TENADUKERU,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_MINOGASU,"But it didn't work for <%sB_TARGET>!"
MESSAGE_NO_SKILL_MAMORINOKIRI_NOCAST,""
MESSAGE_NO_SKILL_NIOUDATI_NOCAST,""
MESSAGE_NO_SKILL_BODYGUADEYOBI,"But nothing happened to <%sB_ACTOR>!"
MESSAGE_NO_SKILL_BODYGUADEYOBI_SIBIRE,"But nothing happened to <%sB_ACTOR>!"
MESSAGE_NO_SPECIAL_KAISINHITYU,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SPECIAL_DAMAGE,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SPECIAL_MIRACLEZONE,""
MESSAGE_NO_SPECIAL_BUFF_MYSELF,""
MESSAGE_NO_SPECIAL_IKKATU,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_OTAKARAHUNTER,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_TENSIONBOOST,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_PALADINGUARD,""
MESSAGE_NO_SPECIAL_MONSTERZONE,""
MESSAGE_NO_SPECIAL_MAGICROULETTE,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_MPHEAL_MYSELF,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_KAMINOIBUKI,""
MESSAGE_NO_SPECIAL_SEIJANOUTA,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_HPHEAL_REVIVE,""
MESSAGE_NO_SPECIAL_ACROBATSTAR,""
MESSAGE_NO_SPECIAL_YOUSEITATINOPOLKA,""
MESSAGE_NO_SPECIAL_DEBUFF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_OUEN,""
MESSAGE_NO_SKILL_MAJINGIRI,"Miss! <%sB_TARGET> cannot be damaged!"
MESSAGE_NO_SKILL_SHINDAFURI,""
MESSAGE_NO_SKILL_TAMERU2,""
MESSAGE_NO_SKILL_BREATH_DAMAGE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SKILL_MONSTERYOBI,"But no one showed up."
MESSAGE_NO_SPECIAL_MOM,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_ITM,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_KAWAIGARU,""
MESSAGE_NO_SKILL_TRAPJAMMER,"But nothing happened."
MESSAGE_NO_SKILL_ITETUKUHADO,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_SKILL_BOMB_DAMAGE,"The It didn't work on <%sB_TARGET>!"
MESSAGE_NO_SPECIAL_ASB_RYUSEI,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SPECIAL_ASB_RYUSEI_DAMAGE,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SPECIAL_ASB_RYUSEI2,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SPECIAL_ASB_RYUSEI2_DAMAGE,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SPECIAL_ASB_KAZE,""
MESSAGE_NO_SPECIAL_ASB_YAMABIKO,""
MESSAGE_NO_SPECIAL_ASB_KOWARERU,""
MESSAGE_NO_SPECIAL_ASB_HP,""
MESSAGE_NO_SPECIAL_ASB_MP,""
MESSAGE_NO_M_KOUGEKI,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_KOUGEKI_SCENARIO,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_KOUGEKI_HANI,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SKILL_NANIMOSINAI1,""
MESSAGE_NO_SKILL_NANIMOSINAI2,""
MESSAGE_NO_SKILL_NANIMOSINAI4,""
MESSAGE_NO_SKILL_NANIMOSINAI5,""
MESSAGE_NO_SKILL_NANIMOSINAI6,""
MESSAGE_NO_SKILL_NANIMOSINAI7,""
MESSAGE_NO_SKILL_NANIMOSINAI8,""
MESSAGE_NO_SKILL_NANIMOSINAI9,""
MESSAGE_NO_SKILL_NANIMOSINAI10,""
MESSAGE_NO_SKILL_NANIMOSINAI11,""
MESSAGE_NO_SKILL_NANIMOSINAI12,""
MESSAGE_NO_SKILL_NANIMOSINAI13,""
MESSAGE_NO_SKILL_NANIMOSINAI14,""
MESSAGE_NO_SKILL_NANIMOSINAI15,""
MESSAGE_NO_SKILL_NANIMOSINAI16,""
MESSAGE_NO_SKILL_NANIMOSINAI17,""
MESSAGE_NO_SKILL_NANIMOSINAI18,""
MESSAGE_NO_SKILL_NANIMOSINAI19,""
MESSAGE_NO_SKILL_NANIMOSINAI20,""
MESSAGE_NO_SKILL_NANIMOSINAI21,""
MESSAGE_NO_SKILL_NANIMOSINAI22,""
MESSAGE_NO_SKILL_NANIMOSINAI25,""
MESSAGE_NO_SKILL_NANIMOSINAI26,""
MESSAGE_NO_SKILL_NANIMOSINAI27,""
MESSAGE_NO_SKILL_NANIMOSINAI28,""
MESSAGE_NO_SKILL_NANIMOSINAI29,""
MESSAGE_NO_SKILL_NANIMOSINAI30,""
MESSAGE_NO_SKILL_NANIMOSINAI35,""
MESSAGE_NO_SKILL_NANIMOSINAI35_AGT,""
MESSAGE_NO_SKILL_NANIMOSINAI37,""
MESSAGE_NO_SKILL_NANIMOSINAI42,""
MESSAGE_NO_M_JUMON_DAMAGE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_M_JUMON_DAMAGE_MYSELF,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_M_JUMON_REVIVE,""
MESSAGE_NO_M_JUMON_MEGAZARU,"But nothing happened to <%sB_TARGET>!"
MESSAGE_NO_M_JUMON_MEGANTE,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_M_JUMON_DAMAGE_MYSELF_MISS,""
MESSAGE_NO_M_JUMON_DAMAGE2,"It didn't work on <%sB_TARGET>!"
MESSAGE_NO_M_SKILL_DAMAGE,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_SKILL_DAMAGE_NOCAST,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_SKILL_DAMAGE_MYSELF,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_SKILL_DAMAGE_MYSELF_NOCAST,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_M_SKILL_DAMAGE_TRAP,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SKILL_POMBOMB,""
MESSAGE_NO_SKILL_POMBOMB_DAMAGE,"Miss! <%sB_TARGET> does not take damage!"
MESSAGE_NO_SKILL_TAILBOMB,""
MESSAGE_NO_SKILL_OTOSIANA,""
MESSAGE_NO_SKILL_ICHIGO_BAKUDAN,""
MESSAGE_NO_SKILL_ICHIGO_YELLOW,""
MESSAGE_NO_SKILL_ICHIGO_BLUE,"But nothing happened to <%sB_TARGET>!"
