Key,SourceString
MESSAGE_NO_ITEM_HPHEAL,"Scratches on <%sB_TARGET> have healed!"
MESSAGE_NO_ITEM_HPHEAL_SOMYA,"The scratches on <%sB_TARGET> have healed!"
MESSAGE_NO_ITEM_HPHEAL_MYSELF,"Scratches on <%sB_TARGET> have been restored!"
MESSAGE_NO_ITEM_MPHEAL,"<%sB_TARGET>'s MP has recovered!"
MESSAGE_NO_ITEM_REVIVE,""
MESSAGE_NO_ITEM_CURE,""
MESSAGE_NO_ITEM_DAMAGE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_ITEM_DAMAGE_MYSELF,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_ITEM_HPHEAL_WEAPON,"The wound on <%sB_TARGET> has been repaired!"
MESSAGE_NO_ITEM_CURE_WEAPON,""
MESSAGE_NO_ITEM_DEBUFF,""
MESSAGE_NO_ITEM_W_BUFF,""
MESSAGE_NO_ITEM_W_BUFF_MYSELF,""
MESSAGE_NO_KOUGEKI,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE2,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE_MYSELF,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DAMAGE_MYSELF2,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_DEBUFF,""
MESSAGE_NO_JUMON_BUFF,""
MESSAGE_NO_JUMON_BUFF_MYSELF,""
MESSAGE_NO_JUMON_DEATH,""
MESSAGE_NO_JUMON_HPHEAL,"The wound on <%sB_TARGET> has healed!"
MESSAGE_NO_JUMON_HPHEAL_MYSELF,"The wound on <%sB_TARGET> has healed!"
MESSAGE_NO_JUMON_CURE_STATUS,""
MESSAGE_NO_JUMON_REVIVE,""
MESSAGE_NO_JUMON_MPABSORB,"A total of <%dB_VALUE> of <%sB_TARGET> MP has been stolen!"
MESSAGE_NO_JUMON_MADANTE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_MM_MADANTE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_MEGANTE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_JUMON_MEGAZARU,"The scratches on <%sB_TARGET> have been restored!"
MESSAGE_NO_JUMON_TRAP,""
MESSAGE_NO_JUMON_DAMAGE_TRAP_AGT,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_TRAP_AGT,""
MESSAGE_NO_JUMON_HPHEAL_BEHOMA,"The wound on <%sB_TARGET> has healed!"
MESSAGE_NO_SKILL_DAMAGE,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE2,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_NOCAST,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_NOCAST2,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2_NOCAST,"Total <%dB_VALUE> damage to <%sB_TARGET>!"
