Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET> are now able to use the counter!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET> can now get counters!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET> are now able to increase their counters!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"The <%sB_TARGET> were horrified!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"You made <%sB_TARGET> sick!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"The <%sB_TARGET> were paralyzed!"
ODDMESSAGE_NO_NEMURI,"I put the <%sB_TARGET> to sleep!"
ODDMESSAGE_NO_NEMURI_ENEMY,"I put the <%sB_TARGET> to sleep!"
ODDMESSAGE_NO_KONRAN,"The <%sB_TARGET> have been thrown into confusion!"
ODDMESSAGE_NO_YASUMI_KOKERU,"The <%sB_TARGET> are gone!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"The <%sB_TARGET> were surprised!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The <%sB_TARGET> have fallen!"
ODDMESSAGE_NO_YASUMI_OBIE,"The <%sB_TARGET> were shocked!"
ODDMESSAGE_NO_YASUMI_WARAI,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_KORI,"You made the <%sB_TARGET> go crazy!"
ODDMESSAGE_NO_YASUMI_KORI2,"You made the <%sB_TARGET> go crazy!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"I let the <%sB_TARGET> hang their toes!"
ODDMESSAGE_NO_YASUMI_OYABUN,"You scared the <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ODORI,"You made <%sB_TARGET> dance!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The <%sB_TARGET> were shocked and suffered!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"The <%sB_TARGET> are frightened and have 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"The <%sB_TARGET> are gone!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"The <%sB_TARGET> have been entangled with thread!"
ODDMESSAGE_NO_YASUMI_TANSU,"You have wrapped <%sB_TARGET> in clothes!"
ODDMESSAGE_NO_YASUMI_BALL,"The <%sB_TARGET> were trapped in a mysterious time!"
ODDMESSAGE_NO_YASUMI_HOLE,"The <%sB_TARGET> have been swallowed!"
ODDMESSAGE_NO_YASUMI_PAN,"The <%sB_TARGET> have been replaced by bread!"
ODDMESSAGE_NO_YASUMI_ROSE,"The <%sB_TARGET> were turned into roses!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"The <%sB_TARGET> are ecstatic!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"The <%sB_TARGET> were tripped and fell!"
ODDMESSAGE_NO_SYSTEM_MITORE,"The <%sB_ACTOR>s are fascinated by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The <%sB_ACTOR> were fascinated by the <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"The <%sB_ACTOR> are in awe of <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"The <%sB_ACTOR>s are fascinated by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR>s are terrified of <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The <%sB_TARGET> have been wrapped in illusion!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"You blinded <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_SUNA,"You blinded <%sB_TARGET> with your sand!"
ODDMESSAGE_NO_GENWAKU_SUMI,"You blinded <%sB_TARGET> with Sumi!"
ODDMESSAGE_NO_FUIN_JUMON,"You have summoned <%sB_TARGET>'s spells!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"A wall of light has appeared before <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"The <%sB_TARGET> have got a cold!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"The <%sB_TARGET> are on their own."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET> defended against attack."
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> defended it with Yaiba's defense."
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET> take and deal less damage!"
