Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET> is now able to use the counter!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET> can now get counters!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET> is now able to increase their counters!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"The party is paralyzed!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"The party is paralyzed!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"The party is paralyzed!"
ODDMESSAGE_NO_NEMURI,"The party has fallen asleep!"
ODDMESSAGE_NO_NEMURI_ENEMY,"The party has fallen asleep!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET>'s heads are in trouble!"
ODDMESSAGE_NO_YASUMI_KOKERU,"The party is gone!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"The party is surprised!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The party has fallen down!"
ODDMESSAGE_NO_YASUMI_OBIE,"The party is shocked!"
ODDMESSAGE_NO_YASUMI_WARAI,"The party had a blast!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"The party had a blast!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"The party laughed!"
ODDMESSAGE_NO_YASUMI_KORI,"The party is frozen!"
ODDMESSAGE_NO_YASUMI_KORI2,"The party is frozen!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET>'s got it!"
ODDMESSAGE_NO_YASUMI_OYABUN,"The party is terrified of being tough!"
ODDMESSAGE_NO_YASUMI_ODORI,"The party was lured into dancing!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The party was shocked and suffered!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"The party is frightened and have 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"The party is gone!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"The party was entangled in a thread!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET> got entangled in their clothes!"
ODDMESSAGE_NO_YASUMI_BALL,"The party has been trapped in a mysterious time!"
ODDMESSAGE_NO_YASUMI_HOLE,"The party has been swallowed!"
ODDMESSAGE_NO_YASUMI_PAN,"The party has been replaced by bread!"
ODDMESSAGE_NO_YASUMI_ROSE,"The party was turned into roses!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"The party is ecstatic!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"The party has tripped and fell!"
ODDMESSAGE_NO_SYSTEM_MITORE,"The <%sB_ACTOR>s are enchanted by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The <%sB_ACTOR> were enchanted by the <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"The <%sB_ACTOR> are in awe of <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"The <%sB_ACTOR>s are enchanted by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR>s are terrified of <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The party has been shrouded in illusion!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"The party is blinded!"
ODDMESSAGE_NO_GENWAKU_SUNA,"The party saw the sun!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The party's eyes have smudges!"
ODDMESSAGE_NO_FUIN_JUMON,"The party has been hit with a spell!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"A wall of light has appeared before <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"The party has a breath reflect!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"The party is on their own."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"The party defended themselves against the attack."
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> defended themselves with Yaiba's defense."
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET> take and deal less damage!"
ODDMESSAGE_NO_DMCUT_EIGIS,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"<%sB_TARGET> take less damage!"
ODDMESSAGE_NO_DAMAGE_0,"<%sB_TARGET> can no longer deal damage!"
ODDMESSAGE_NO_DMUP,"The party has increased their damage!"
ODDMESSAGE_NO_DMUP_SUKOSI,"The party deals slightly more damage!"
ODDMESSAGE_NO_DMUP_SUPER,"The party can deal much more damage!"
ODDMESSAGE_NO_DMUP_BUSSITU,"<%sB_TARGET> have increased their damage to material monsters!"
ODDMESSAGE_NO_DMDOWN,"The party is dealing less damage!"
