Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"The <%sB_TARGET> are making counters easy again!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET> are making counters easy again!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET> are making counters easier again!"
ODDMESSAGE_NO_SYSTEM_MARK,"The <%sB_ACTOR>s are mad at <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK2,"The <%sB_ACTOR> are furious with <%sB_TARGET>!"
ODDMESSAGE_NO_MAHI,"The <%sB_TARGET> are paralyzed again!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"The <%sB_TARGET> are paralyzed again!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"The <%sB_TARGET> are paralyzed again!"
ODDMESSAGE_NO_NEMURI,"The <%sB_TARGET> have fallen asleep even deeper!"
ODDMESSAGE_NO_NEMURI_ENEMY,"The <%sB_TARGET> have fallen asleep even deeper!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> are getting more confused!"
ODDMESSAGE_NO_YASUMI_KOKERU,"The <%sB_TARGET> have fallen again!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"The <%sB_TARGET> were surprised again!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The <%sB_TARGET> have fallen again!"
ODDMESSAGE_NO_YASUMI_OBIE,"The <%sB_TARGET> are shocked again!"
ODDMESSAGE_NO_YASUMI_WARAI,"The <%sB_TARGET> were a big hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"The <%sB_TARGET> were a hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET> laughed again!"
ODDMESSAGE_NO_YASUMI_KORI,"The <%sB_TARGET> are cold again!"
ODDMESSAGE_NO_YASUMI_KORI2,"The <%sB_TARGET> are cold again!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"The <%sB_TARGET> are back again!"
ODDMESSAGE_NO_YASUMI_OYABUN,"The <%sB_TARGET> are frightened again!"
ODDMESSAGE_NO_YASUMI_ODORI,"The <%sB_TARGET> have been caught dancing again!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The <%sB_TARGET> were shocked again!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>'s power has dropped to 0 again!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"The <%sB_TARGET> have fallen again!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"The <%sB_TARGET> have been entangled in threads again!"
ODDMESSAGE_NO_YASUMI_TANSU,"The <%sB_TARGET> are entangled in their clothes again!"
ODDMESSAGE_NO_YASUMI_BALL,"The <%sB_TARGET> are once again imprisoned in a mysterious moment!"
ODDMESSAGE_NO_YASUMI_HOLE,"The <%sB_TARGET> have been sucked in again!"
ODDMESSAGE_NO_YASUMI_PAN,"The <%sB_TARGET> have been turned into bread again!"
ODDMESSAGE_NO_YASUMI_ROSE,"The <%sB_TARGET> have been turned into roses again!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"The <%sB_TARGET> are ecstatic again!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"The <%sB_TARGET> got tripped and fell again!"
ODDMESSAGE_NO_SYSTEM_MITORE,"The <%sB_ACTOR> are once again obsessed with <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The <%sB_ACTOR> were horrified to see <%sB_TARGET> again!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"The <%sB_ACTOR> are once again in awe of <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"The <%sB_ACTOR>s are enchanted by <%sB_TARGET> again!"
ODDMESSAGE_NO_SYSTEM_FEAR,"The <%sB_ACTOR>s are scared of <%sB_TARGET> again!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The <%sB_TARGET> are even more shrouded in illusion!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"The <%sB_TARGET> are even more blinded!"
ODDMESSAGE_NO_GENWAKU_SUNA,"More sand in <%sB_TARGET>'s eyes!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The <%sB_TARGET> got more ink in their eyes!"
ODDMESSAGE_NO_FUIN_JUMON,"The <%sB_TARGET> have been spellbound again!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"A wall of light has reappeared before <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"The <%sB_TARGET> are have a breath reflect again!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET> are on their guard again."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"The <%sB_TARGET> are defending themselves again in case of an attack."
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"The <%sB_TARGET> are once again defending themselves with the Yaiba Defense."
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET> take less damage again!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET> take less damage again!"
