Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_COUNTER_TENTI,""
ODDMESSAGE_NO_COUNTER_UP,""
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_NEMURI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_NEMURI_ENEMY,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_KONRAN,"We didn't hear from the <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOKERU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_OBIE,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"The <%sB_TARGET> didn't get the pun!"
ODDMESSAGE_NO_YASUMI_KORI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KORI2,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_OYABUN,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ODORI,"The <%sB_TARGET> weren't caught!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The <%sB_TARGET> were bored!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"The <%sB_TARGET> were terrified!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_TANSU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_BALL,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_HOLE,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_PAN,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ROSE,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"We didn't hear from <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_SUNA,"The <%sB_TARGET> have shaken off the sand!"
ODDMESSAGE_NO_GENWAKU_SUMI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_FUIN_JUMON,"We didn't hear from the <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_PHALANX,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_EIGIS,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DAMAGE_0,"The <%sB_TARGET> did not hear!"
ODDMESSAGE_NO_DMUP,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP_BUSSITU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMDOWN,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP2,"No effect on <%sB_TARGET>!"
