Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_COUNTER_TENTI,""
ODDMESSAGE_NO_COUNTER_UP,""
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"It didn't work on the party!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"No effect on the party!"
ODDMESSAGE_NO_NEMURI,"It didn't work on the party!"
ODDMESSAGE_NO_NEMURI_ENEMY,"No effect on the party!"
ODDMESSAGE_NO_KONRAN,"We didn't hear from the the party!"
ODDMESSAGE_NO_YASUMI_KOKERU,"No effect on the party!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_KOROBI,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_OBIE,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_WARAI,"The party didn't laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"The party didn't care!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"The party didn't get the pun!"
ODDMESSAGE_NO_YASUMI_KORI,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_KORI2,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_OYABUN,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_ODORI,"The party weren't caught!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The party were bored!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"The party were terrified!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_TANSU,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_BALL,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_HOLE,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_PAN,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_ROSE,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"It didn't work on the party!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"It didn't work on the party!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"It didn't work on the party!"
ODDMESSAGE_NO_GENWAKU_SUNA,"The party have shaken off the sand!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The party dodged quickly!"
ODDMESSAGE_NO_FUIN_JUMON,"We didn't hear from the party!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"No effect on the party!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_PHALANX,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_EIGIS,"No effect on the party!"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"No effect on the party!"
ODDMESSAGE_NO_DAMAGE_0,"It didn't work on the party!"
ODDMESSAGE_NO_DMUP,"No effect on the party!"
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,"No effect on the party!"
ODDMESSAGE_NO_DMUP_BUSSITU,"No effect on the party!"
ODDMESSAGE_NO_DMDOWN,"No effect on the party!"
ODDMESSAGE_NO_DMUP2,"No effect on the party!"
ODDMESSAGE_NO_DMCUT,"No effect on the party!"
ODDMESSAGE_NO_SYUBI_0,"It didn't work on the party!"
ODDMESSAGE_NO_DOKU_MOUDOKU,"It didn't work on the party!"
ODDMESSAGE_NO_DOKU,"It didn't work on the party!"
ODDMESSAGE_NO_TENSIONBURN,"No effect on the party!"
ODDMESSAGE_NO_MIGAWARI_KABAU,"But we couldn't save the party!"
ODDMESSAGE_NO_MUKO_MAMORINOKIRI,"No effect on the party!"
ODDMESSAGE_NO_MUKO_KIRAKIRA,"No effect on the party!"
ODDMESSAGE_NO_MUKO_JUMP,"No effect on the party!"
ODDMESSAGE_NO_MUKO_BOW,"No effect on the party!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"No effect on the party!"
