Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET>'s counter rate is back to normal!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET>'s heaven and earth have melted!"
ODDMESSAGE_NO_COUNTER_UP,"The <%sB_TARGET>'s shield counter has melted!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_TARGET>'s anger has subsided"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_TARGET>'s anger has subsided"
ODDMESSAGE_NO_MAHI,"<%sB_TARGET>'s numbness is gone!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET>'s numbness is gone!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"The <%sB_TARGET> are now moving!"
ODDMESSAGE_NO_NEMURI,"The <%sB_TARGET> have woken up!"
ODDMESSAGE_NO_NEMURI_ENEMY,"The <%sB_TARGET> have woken up!"
ODDMESSAGE_NO_KONRAN,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_YASUMI_KOKERU,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_OBIE,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_WARAI,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"The <%sB_TARGET> have returned to me!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_YASUMI_KORI,"The <%sB_TARGET> are now moving!"
ODDMESSAGE_NO_YASUMI_KORI2,"The <%sB_TARGET> are now moving!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_OYABUN,"The <%sB_TARGET> are now moving!"
ODDMESSAGE_NO_YASUMI_ODORI,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>'s power has been restored!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_TARGET>'s power has been restored!"
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,"The <%sB_TARGET> are on the move!"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_YASUMI_ITO,"The <%sB_TARGET> are now moving!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_PAN,"The <%sB_TARGET> are back!"
ODDMESSAGE_NO_YASUMI_ROSE,"The <%sB_TARGET> are back!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"The <%sB_TARGET> have returned!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"The <%sB_TARGET> are up!"
ODDMESSAGE_NO_SYSTEM_MITORE,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_TARGET>'s numbness is gone!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_SYSTEM_FEAR,"The <%sB_TARGET> have returned to us!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The illusion of <%sB_TARGET> is over!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET>'s dazzle is gone!"
ODDMESSAGE_NO_GENWAKU_SUNA,"We have seen <%sB_TARGET>'s eyes!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The illusion of <%sB_TARGET> is over!"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>'s spell seal has been broken!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>'s Mahokanta has disappeared!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>'s cold is gone!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"The <%sB_TARGET> have taken up their guard!"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"The <%sB_TARGET> have cleared their defenses!"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"The <%sB_TARGET> have cleared their defenses!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>'s damage barrier has been removed!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"The effect of <%sB_TARGET>'s Super Armor has expired!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>'s impregnable defense has ended!"
