Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"The party's counter rate is back to normal!"
ODDMESSAGE_NO_COUNTER_TENTI,"The party's heaven and earth have melted!"
ODDMESSAGE_NO_COUNTER_UP,"The party's shield counter has melted!"
ODDMESSAGE_NO_SYSTEM_MARK,"The party's anger has subsided"
ODDMESSAGE_NO_SYSTEM_MARK2,"The party's anger has subsided"
ODDMESSAGE_NO_MAHI,"The party's numbness is gone!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"The party's numbness is gone!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"The party is now moving!"
ODDMESSAGE_NO_NEMURI,"The party has woken up!"
ODDMESSAGE_NO_NEMURI_ENEMY,"The party has woken up!"
ODDMESSAGE_NO_KONRAN,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOKERU,"The party is up!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"The party is up!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The party is up!"
ODDMESSAGE_NO_YASUMI_OBIE,"The party is up!"
ODDMESSAGE_NO_YASUMI_WARAI,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_KORI,"The party is now moving!"
ODDMESSAGE_NO_YASUMI_KORI2,"The party is now moving!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"The party can now move!"
ODDMESSAGE_NO_YASUMI_OYABUN,"The party is now moving!"
ODDMESSAGE_NO_YASUMI_ODORI,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"The party has returned to normal!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"The party's power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"The party is up!"
ODDMESSAGE_NO_YASUMI_TEISI,"The party's power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,"The party is on the move!"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"The party is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"The party is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"The party is up!"
ODDMESSAGE_NO_YASUMI_ITO,"The party is now moving!"
ODDMESSAGE_NO_YASUMI_TANSU,"The party can now move!"
ODDMESSAGE_NO_YASUMI_BALL,"The party can now move!"
ODDMESSAGE_NO_YASUMI_HOLE,"The party can now move!"
ODDMESSAGE_NO_YASUMI_PAN,"The party is back!"
ODDMESSAGE_NO_YASUMI_ROSE,"The party is back!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"The party has returned!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"The party is up!"
ODDMESSAGE_NO_SYSTEM_MITORE,"The party has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The party's numbness is gone!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"The party has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"The party has returned to normal!"
ODDMESSAGE_NO_SYSTEM_FEAR,"The party has returned to normal!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The illusion affecting the party is over!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"The party's dazzle is gone!"
ODDMESSAGE_NO_GENWAKU_SUNA,"We have seen the party's eyes!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The illusion affecting the party is over!"
ODDMESSAGE_NO_FUIN_JUMON,"The party's spell seal has been broken!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"The party's Mahokanta has disappeared!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"The party's breath reflect is gone!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"The party has taken up their guard!"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"The party has cleared their defenses!"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"The party has cleared their defenses!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"The party's damage barrier has been removed!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"The effect of the party's Super Armor has expired!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"The party's impregnable defense has ended!"
ODDMESSAGE_NO_DMCUT_PHALANX,"The party's phalanx effect is gone!"
ODDMESSAGE_NO_DMCUT_EIGIS,"The party's damage has returned to normal!"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"The party's damage has returned to normal!"
ODDMESSAGE_NO_DAMAGE_0,The party can deal damage again!"
ODDMESSAGE_NO_DMUP,"The party's damage up effect has ended!"
ODDMESSAGE_NO_DMUP_SUKOSI,"The party's damage up effect has ended!"
ODDMESSAGE_NO_DMUP_SUPER,"The party's damage up effect is gone!"
ODDMESSAGE_NO_DMUP_BUSSITU,"The party's damage up effect has ended!"
ODDMESSAGE_NO_DMDOWN,"The party's damage reduction effect has ended!"
ODDMESSAGE_NO_DMUP2,"The party's damage up effect is gone!"
ODDMESSAGE_NO_DMCUT,"The party's damage has returned to normal!"
ODDMESSAGE_NO_SYUBI_0,"The party's defense has returned to normal!"
ODDMESSAGE_NO_DOKU_MOUDOKU,"The party's bodies are cured of poison!"
ODDMESSAGE_NO_DOKU,"The party's bodies are cured of poison!"
