Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,"<%sB_LOG_REACTION><%sB_TARGET> dodged lightly!"
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,"<%sB_LOG_REACTION><%sB_TARGET> blocked the attack with his shield!"
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,"<%sB_LOG_REACTION><%sB_TARGET> countered the attack with a weapon!"
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,"Touching <%sB_LOG_REACTION><%sB_TARGET> made me sick!"
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,"<%sB_LOG_REACTION><%sB_TARGET> blocked the attack with his shield!"
ODDMESSAGE_NO_SYSTEM_COUNTER,"Counter for <%sB_LOG_REACTION><%sB_TARGET>!"
ODDMESSAGE_NO_COUNTER_TENTI,"Counter for <%sB_LOG_REACTION><%sB_TARGET>!"
ODDMESSAGE_NO_COUNTER_UP,"Counter for <%sB_LOG_REACTION><%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,""
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,""
ODDMESSAGE_NO_NEMURI,""
ODDMESSAGE_NO_NEMURI_ENEMY,""
ODDMESSAGE_NO_KONRAN,""
ODDMESSAGE_NO_YASUMI_KOKERU,""
ODDMESSAGE_NO_YASUMI_BIKKURI,""
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_WARAI,""
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,""
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_KORI2,""
ODDMESSAGE_NO_YASUMI_MIBURUI,""
ODDMESSAGE_NO_YASUMI_OYABUN,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_ANLUCIA,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,""
ODDMESSAGE_NO_YASUMI_TUKITOBASI,""
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_TANSU,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_YASUMI_HOLE,""
ODDMESSAGE_NO_YASUMI_PAN,""
ODDMESSAGE_NO_YASUMI_ROSE,""
ODDMESSAGE_NO_YASUMI_PAHUPAHU,""
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_GENWAKU_SUNA,""
ODDMESSAGE_NO_GENWAKU_SUMI,""
ODDMESSAGE_NO_FUIN_JUMON,""
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_LOG_REACTION><%sB_TARGET>'s wall of light repelled the spell!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_LOG_REACTION><%sB_TARGET>'s cold has caught its breath!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_LOG_REACTION>Yaiba's defense is over! \n<%sB_LOG_DAMAGE><%dB_VALUE> damage to <%sB_ACTOR>!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_LOG_REACTION><%sB_TARGET>'s barrier reduced damage!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,""
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,""
ODDMESSAGE_NO_DMCUT_PHALANX,""
ODDMESSAGE_NO_DMCUT_EIGIS,""
ODDMESSAGE_NO_DMCUT_SEXTUKOU,""
ODDMESSAGE_NO_DAMAGE_0,""
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,""
ODDMESSAGE_NO_DMUP_BUSSITU,""
ODDMESSAGE_NO_DMDOWN,""
ODDMESSAGE_NO_DMUP2,""
ODDMESSAGE_NO_DMCUT,""
ODDMESSAGE_NO_SYUBI_0,""
ODDMESSAGE_NO_DOKU_MOUDOKU,""
ODDMESSAGE_NO_DOKU,""
ODDMESSAGE_NO_TENSIONBURN,""
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_LOG_REACTION><%sB_ACTOR> protected <%sB_TARGET>!"
ODDMESSAGE_NO_MUKO_MAMORINOKIRI,"The guard of <%sB_LOG_REACTION><%sB_TARGET> has taken over!"
ODDMESSAGE_NO_MUKO_KIRAKIRA,"The glitter effect of <%sB_LOG_REACTION><%sB_TARGET> has warded off bad effects!"
ODDMESSAGE_NO_MUKO_JUMP,"<%sB_LOG_REACTION>Mysterious power has saved <%sB_TARGET>'s feet!"
ODDMESSAGE_NO_MUKO_BOW,"<%sB_LOG_REACTION><%sB_TARGET>'s Yumisei's talisman effect warded off bad effects!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"<%sB_LOG_REACTION> <%sB_TARGET>'s Mahoste effect cast a spell!"
ODDMESSAGE_NO_MUKO_SPELLGUARD,"<%sB_LOG_REACTION><%sB_TARGET>'s spell guard cast a spell!"
ODDMESSAGE_NO_MUKO_BGYOBI,"<%sB_LOG_REACTION><%sB_TARGET>'s bodyguards have appeared!"
ODDMESSAGE_NO_MUKO_PLDBRIRRER,"<%sB_LOG_REACTION><%sB_TARGET> has been protected by a Paladin Barrier!"
ODDMESSAGE_NO_MUKO_CRTGUARD,"<%sB_LOG_REACTION><%sB_TARGET>'s complete critical guard!"
ODDMESSAGE_NO_DMCUT_CRTGUARD,"<%sB_LOG_REACTION><%sB_TARGET> critical guard!"
ODDMESSAGE_NO_MUKO_PLDGUARD,"<%sB_LOG_REACTION><%sB_TARGET> has been protected by the Paladin Guard!"
ODDMESSAGE_NO_MUKO_KISHITATE,"<%sB_LOG_REACTION><%sB_TARGET> has been protected by the Holy Knights!"
ODDMESSAGE_NO_MUKO_CPS_PLDGUARD,"<%sB_LOG_REACTION><%sB_TARGET> is protected by the Guardian Wall!"
ODDMESSAGE_NO_DOT_SEISIN,""
ODDMESSAGE_NO_DOT_RIHOIMI,""
ODDMESSAGE_NO_DOT_RIBEHOIMI,""
ODDMESSAGE_NO_DOT_RIBEHOIMU,""
ODDMESSAGE_NO_DOT_MEIKYOUSISUI,""
ODDMESSAGE_NO_DOT_TATUJINNOKOKYU,""
ODDMESSAGE_NO_DOT_POWAPOWA,""
ODDMESSAGE_NO_DOT_MAGICALHEAL,""
ODDMESSAGE_NO_DOT_REJENE7,""
ODDMESSAGE_NO_DOT_SUPIRIXTUTOZOEN,""
ODDMESSAGE_NO_DOT_POLKA,""
ODDMESSAGE_NO_DOT_HPMP_KAIHUKU,""
ODDMESSAGE_NO_DOT_TAORERU_ASB,""
ODDMESSAGE_NO_DOT_MADANTE,""
ODDMESSAGE_NO_DOT_MAGICROULETTE,""
ODDMESSAGE_NO_DOT_REJENE_HP_MM,""
ODDMESSAGE_NO_DOT_REJENE_MP_MM,""
ODDMESSAGE_NO_FORCE_FIRE,""
ODDMESSAGE_NO_FORCE_ICE,""
ODDMESSAGE_NO_FORCE_STORM,""
ODDMESSAGE_NO_FORCE_DARK,""
ODDMESSAGE_NO_FORCE_LIGHT,""
ODDMESSAGE_NO_BADST_MAMORINOTATE,""
ODDMESSAGE_NO_BADST_AYASIIHIKARI,""
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,""
ODDMESSAGE_NO_MPCOST,""
ODDMESSAGE_NO_GOLDCUT,""
ODDMESSAGE_NO_MONSTERZONE,"<%sB_LOG_REACTION><%sB_ACTOR> is sick!"
ODDMESSAGE_NO_HONKI_ASB_KANASIBARI,"<%sB_LOG_REACTION><%sB_ACTOR> is sick!"
ODDMESSAGE_NO_KYOUHU,"<%dB_VALUE> damage to <%sB_LOG_DAMAGE><%sB_ACTOR>!"
ODDMESSAGE_NO_RATE_MIKAWASI,""
ODDMESSAGE_NO_RATE_ACROBAT,""
ODDMESSAGE_NO_MAKEUP,""
ODDMESSAGE_NO_RATE_TATEGUARD,""
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,""
ODDMESSAGE_NO_RATE_BUKIGUARD_POL,""
ODDMESSAGE_NO_RATE_GUARDASTER,""
ODDMESSAGE_NO_RATE_BUKIGUARD_SPR,""
ODDMESSAGE_NO_RATE_SUCCESSFULBLOCKS_HP,""
ODDMESSAGE_NO_OMOSA_UP,""
ODDMESSAGE_NO_OMOSA_DOWN,""
ODDMESSAGE_NO_TURNBAR,"<%sB_LOG_REACTION><%sB_ACTOR> can act again!"
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,"<%sB_LOG_REACTION><%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_CASTSPEED_RAPID,"The <%sB_LOG_REACTION><%sB_ACTOR> spell echoes!"
ODDMESSAGE_NO_CASTSPEED_TOKUGI,"<%sB_LOG_REACTION><%sB_ACTOR> repeats feat!"
ODDMESSAGE_NO_CASTSPEED_KAMINOIBUKI,"The spell of <%sB_LOG_REACTION><%sB_ACTOR> echoes!"
