Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,"<%sB_TARGET> dodged lightly!"
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,"<%sB_TARGET> blocked the attack with his shield!"
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,"<%sB_TARGET> countered the attack with his weapon!"
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"Counter for <%sB_TARGET>!"
ODDMESSAGE_NO_COUNTER_TENTI,"Counter for <%sB_TARGET>!"
ODDMESSAGE_NO_COUNTER_UP,"Counter for <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,""
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,""
ODDMESSAGE_NO_NEMURI,""
ODDMESSAGE_NO_NEMURI_ENEMY,""
ODDMESSAGE_NO_KONRAN,""
ODDMESSAGE_NO_YASUMI_KOKERU,""
ODDMESSAGE_NO_YASUMI_BIKKURI,""
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_WARAI,""
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,""
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_KORI2,""
ODDMESSAGE_NO_YASUMI_MIBURUI,""
ODDMESSAGE_NO_YASUMI_OYABUN,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_ANLUCIA,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,""
ODDMESSAGE_NO_YASUMI_TUKITOBASI,""
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_TANSU,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_YASUMI_HOLE,""
ODDMESSAGE_NO_YASUMI_PAN,""
ODDMESSAGE_NO_YASUMI_ROSE,""
ODDMESSAGE_NO_YASUMI_PAHUPAHU,""
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_GENWAKU_SUNA,""
ODDMESSAGE_NO_GENWAKU_SUMI,""
ODDMESSAGE_NO_FUIN_JUMON,""
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>'s wall of light repelled the spell!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>'s veil has deflected the breath!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_ACTOR> has taken <%dB_VALUE> extreme damage!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,""
ODDMESSAGE_NO_DMCUT_SUPERARMOR,""
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,""
ODDMESSAGE_NO_DMCUT_PHALANX,""
ODDMESSAGE_NO_DMCUT_EIGIS,""
ODDMESSAGE_NO_DMCUT_SEXTUKOU,""
ODDMESSAGE_NO_DAMAGE_0,""
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,""
ODDMESSAGE_NO_DMUP_BUSSITU,""
ODDMESSAGE_NO_DMDOWN,""
ODDMESSAGE_NO_DMUP2,""
ODDMESSAGE_NO_DMCUT,""
ODDMESSAGE_NO_SYUBI_0,""
ODDMESSAGE_NO_DOKU_MOUDOKU,""
ODDMESSAGE_NO_DOKU,""
ODDMESSAGE_NO_TENSIONBURN,""
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_ACTOR> defended <%sB_TARGET>!"
ODDMESSAGE_NO_MUKO_MAMORINOKIRI,"<%sB_TARGET>'s guard has taken his place!"
ODDMESSAGE_NO_MUKO_KIRAKIRA,"<%sB_TARGET>'s bling effect wards off bad effects!"
ODDMESSAGE_NO_MUKO_JUMP,"A mysterious power has saved <%sB_TARGET>'s feet!"
ODDMESSAGE_NO_MUKO_BOW,"<%sB_TARGET>'s Yumisei's Guardian Star effect warded off bad effects!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"<%sB_TARGET>'s Mahoste effect has cast a spell!"
ODDMESSAGE_NO_MUKO_SPELLGUARD,"<%sB_TARGET>'s spellguard has cast a spell!"
ODDMESSAGE_NO_MUKO_BGYOBI,""
ODDMESSAGE_NO_MUKO_PLDBRIRRER,"<%sB_TARGET> has been protected by a Paladin Barrier!"
ODDMESSAGE_NO_MUKO_CRTGUARD,"<%sB_TARGET>'s perfect guard!"
ODDMESSAGE_NO_DMCUT_CRTGUARD,"<%sB_TARGET>'s critical guard!"
ODDMESSAGE_NO_MUKO_PLDGUARD,"<%sB_TARGET> has been protected by the Paladin Guard!"
ODDMESSAGE_NO_MUKO_KISHITATE,"<%sB_TARGET> is protected by a strong army of Holy Knights!"
ODDMESSAGE_NO_MUKO_CPS_PLDGUARD,"<%sB_TARGET> is protected by the Guardian Wall!"
ODDMESSAGE_NO_DOT_SEISIN,""
ODDMESSAGE_NO_DOT_RIHOIMI,""
ODDMESSAGE_NO_DOT_RIBEHOIMI,""
ODDMESSAGE_NO_DOT_RIBEHOIMU,""
ODDMESSAGE_NO_DOT_MEIKYOUSISUI,""
ODDMESSAGE_NO_DOT_TATUJINNOKOKYU,""
ODDMESSAGE_NO_DOT_POWAPOWA,""
ODDMESSAGE_NO_DOT_MAGICALHEAL,""
ODDMESSAGE_NO_DOT_REJENE7,""
ODDMESSAGE_NO_DOT_SUPIRIXTUTOZOEN,""
ODDMESSAGE_NO_DOT_POLKA,""
ODDMESSAGE_NO_DOT_HPMP_KAIHUKU,""
ODDMESSAGE_NO_DOT_TAORERU_ASB,""
ODDMESSAGE_NO_DOT_MADANTE,""
ODDMESSAGE_NO_DOT_MAGICROULETTE,""
ODDMESSAGE_NO_DOT_REJENE_HP_MM,""
ODDMESSAGE_NO_DOT_REJENE_MP_MM,""
ODDMESSAGE_NO_FORCE_FIRE,""
ODDMESSAGE_NO_FORCE_ICE,""
ODDMESSAGE_NO_FORCE_STORM,""
ODDMESSAGE_NO_FORCE_DARK,""
ODDMESSAGE_NO_FORCE_LIGHT,""
ODDMESSAGE_NO_BADST_MAMORINOTATE,""
ODDMESSAGE_NO_BADST_AYASIIHIKARI,""
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,""
ODDMESSAGE_NO_MPCOST,""
ODDMESSAGE_NO_GOLDCUT,""
ODDMESSAGE_NO_MONSTERZONE,"<%sB_ACTOR> is sick!"
ODDMESSAGE_NO_HONKI_ASB_KANASIBARI,"<%sB_ACTOR> is sick!"
ODDMESSAGE_NO_KYOUHU,"<%sB_ACTOR> has taken <%dB_VALUE> damage!"
ODDMESSAGE_NO_RATE_MIKAWASI,""
ODDMESSAGE_NO_RATE_ACROBAT,""
ODDMESSAGE_NO_MAKEUP,""
ODDMESSAGE_NO_RATE_TATEGUARD,""
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,""
ODDMESSAGE_NO_RATE_BUKIGUARD_POL,""
ODDMESSAGE_NO_RATE_GUARDASTER,""
ODDMESSAGE_NO_RATE_BUKIGUARD_SPR,""
ODDMESSAGE_NO_RATE_SUCCESSFULBLOCKS_HP,""
ODDMESSAGE_NO_OMOSA_UP,""
ODDMESSAGE_NO_OMOSA_DOWN,""
ODDMESSAGE_NO_TURNBAR,"<%sB_ACTOR> can act again!"
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,"<%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_CASTSPEED_RAPID,"<%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_CASTSPEED_TOKUGI,"<%sB_ACTOR> skills repeat!"
ODDMESSAGE_NO_CASTSPEED_KAMINOIBUKI,"<%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_CASTSPEED,"<%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_TENSINOMAMORI,"An angelic guardian has summoned <%sB_ACTOR>'s spirit!"
ODDMESSAGE_NO_SINDAFURI,""
ODDMESSAGE_NO_MAHOKITE,"<%sB_ACTOR>'s MP has been recovered by Absorb Magic!"
ODDMESSAGE_NO_BESTSMILE,""
ODDMESSAGE_NO_MIRYO,""
ODDMESSAGE_NO_PAHUPAHU,""
ODDMESSAGE_NO_BIRIBIRIBRIRRER,"<%sB_ACTOR> has taken <%dB_VALUE> damage!"
ODDMESSAGE_NO_MANEMANE,"<%sB_ACTOR> has imitated <%dB_VALUE> damage!"
ODDMESSAGE_NO_NUSUMU,"<%sB_ACTOR> has stolen something from <%sB_TARGET>!"
ODDMESSAGE_NO_NOROI,""
ODDMESSAGE_NO_NOROI_HPDOWN,""
ODDMESSAGE_NO_NOROI_HPDOWN2,""
ODDMESSAGE_NO_NOROI_HPDOT,""
ODDMESSAGE_NO_NOROI_HPMPDOT,""
ODDMESSAGE_NO_NOROI_EFFECT,""
ODDMESSAGE_NO_SOKUSI,""
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,"<%dB_VALUE> of <%sB_ACTOR> MP recovered!"
ODDMESSAGE_NO_ABSORB_MP_STK,"You have taken <%dB_VALUE> MP from <%sB_TARGET>!"
ODDMESSAGE_NO_ABSORB_HP,"<%sB_ACTOR> has recovered <%dB_VALUE> HP!"
ODDMESSAGE_NO_ABSORB_HP_BUFF,"<%sB_ACTOR> has recovered <%dB_VALUE> HP!"
ODDMESSAGE_NO_ABSORB_TENSHON,""
ODDMESSAGE_NO_ABSORB_TENSHON_MNK,""
ODDMESSAGE_NO_ABSORB_MP_BUFF,"<%dB_VALUE> of <%sB_ACTOR>'s MP has recovered!"
ODDMESSAGE_NO_ADD_MOUDOKU,""
ODDMESSAGE_NO_MAHOTORANOKOROMO,""
ODDMESSAGE_NO_DAMAGE_MPHEAL,""
ODDMESSAGE_NO_DAMAGE_HPHEAL,"<%sB_TARGET> has recovered <%dB_VALUE> HP!"
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,"The spell of <%sB_ACTOR> echoes!"
ODDMESSAGE_NO_YAMABIKO_MM,"<%sB_ACTOR>'s spell echoes!"
ODDMESSAGE_NO_YAMABIKO_ALL,"<%sB_ACTOR> will repeat the action!"
ODDMESSAGE_NO_MUKO_RYUGAN,""
ODDMESSAGE_NO_CRT_UP,""
ODDMESSAGE_NO_CRT_UP_ONCE,""
ODDMESSAGE_NO_CRT_UP_JUMON,""
ODDMESSAGE_NO_ABSORB_HPDAMAGE,"<%sB_ACTOR> has taken <%dB_VALUE> damage!"
ODDMESSAGE_NO_HIKARINOHADO,""
ODDMESSAGE_NO_NUSUMU_QUEST,"<%sB_ACTOR> has stolen <%sB_EXTRA>!"
ODDMESSAGE_NO_ABSORB_MP_GUARD,"<%sB_TARGET> blocks MP absorption!"
ODDMESSAGE_NO_MUKO_ATK_GUARD,"Complete attack guard for <%sB_TARGET>!"
ODDMESSAGE_NO_MUKO_DAMAGE_GUARD,"Complete damage guard for <%sB_TARGET>!"
ODDMESSAGE_NO_MUKO_HONOO2,""
ODDMESSAGE_NO_MIRYOKU_UP,""
ODDMESSAGE_NO_MUKO_SEIJO,"With the protection of the saint, <%sB_TARGET> stayed on the floor without dying!"
ODDMESSAGE_NO_MUKO_SEIJO2,"Blessed by the Goddess, <%sB_TARGET> stayed on the floor without dying!"
ODDMESSAGE_NO_RENKIN_HP1IKINOKORI1,"The rosary glowed and <%sB_TARGET> stayed on the floor without dying!"
ODDMESSAGE_NO_HP1IKINOKORI1_AKASI,"<%sB_TARGET> did not die and stayed at the foot of the mountain with his monk mark!"
ODDMESSAGE_NO_HP1IKINOKORI,"Mysterious power kept <%sB_TARGET> from dying!"
ODDMESSAGE_NO_ASSASSIN,"You have killed <%sB_TARGET>!"
ODDMESSAGE_NO_EXPBOOST,""
ODDMESSAGE_NO_DOT_ONSEN,""
ODDMESSAGE_NO_OTAKARA_HUNTER,""
ODDMESSAGE_NO_MUKO_JUMON_GUARD,"Complete spell guard for <%sB_TARGET>!"
ODDMESSAGE_NO_NIGERU_CANCEL,"<%sB_ACTOR> could not escape!"
ODDMESSAGE_NO_HANSYA_MAHOTAN,"<%sB_TARGET>'s wall of light repelled the spell!"
ODDMESSAGE_NO_MAHI_SPIKE,""
ODDMESSAGE_NO_FREE_MPCOST,"<%sB_TARGET> did not consume MP!"
ODDMESSAGE_NO_MITORE_DOWN,""
ODDMESSAGE_NO_MUKOU_PASSIVE,"Nothing happened to <%sB_TARGET>!"
ODDMESSAGE_NO_MUKOU_PASSIVE2,"Nothing happened to <%sB_TARGET>!"
ODDMESSAGE_NO_MUKOU_ODD_YAMINOKOROMO,"Negated in the darkness of <%sB_TARGET>!"
ODDMESSAGE_NO_BADST_MADONOSYO,""
ODDMESSAGE_NO_BADST_MAGICALBREAK,""
ODDMESSAGE_NO_BADST_DOWN,""
ODDMESSAGE_NO_PARAM_PLUS,""
ODDMESSAGE_NO_MAHOKITE_SAG,"<%sB_ACTOR>'s MP has recovered due to Absorb Magic's effect!"
ODDMESSAGE_NO_MAXHP_UP,""
ODDMESSAGE_NO_SCALE_CHANGE_MINI,""
ODDMESSAGE_NO_CHANGE_MUCCHINO,""
ODDMESSAGE_NO_CHANGE_DORONUBA,""
ODDMESSAGE_NO_SCALE_CHANGE_AFRO1,""
ODDMESSAGE_NO_SCALE_CHANGE_AFRO2,""
ODDMESSAGE_NO_SCALE_CHANGE_AFRO3,""
ODDMESSAGE_NO_FUIN_SKILL,""
ODDMESSAGE_NO_FUIN_BREATH,""
ODDMESSAGE_NO_ITEM_TARGETSELECT_CHANGE,""
ODDMESSAGE_NO_ITEM_DAMAGE_CHANGE,""
ODDMESSAGE_NO_SCOUT,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_2,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_HONOO,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KAZE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_TUTI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KAMINARI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_YAMI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_HIKARI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_HONOOHIKARI,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_AG,""
