Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_LOG_ABILITY_UP> <%sB_TARGET> is now easier to use counters!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_LOG_ABILITY_UP><%sB_TARGET> is now easier to get counters!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_LOG_ABILITY_UP> <%sB_TARGET> is now easier to get counters!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"The <%sB_LOG_ABILITY_DOWN> <%sB_TARGET> was horrified!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_LOG_ABILITY_DOWN> made <%sB_TARGET> sick!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was paralyzed!"
ODDMESSAGE_NO_NEMURI,"You put <%sB_LOG_ABILITY_DOWN><%sB_TARGET> to sleep!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has fallen asleep!"
ODDMESSAGE_NO_KONRAN,"The <%sB_LOG_ABILITY_DOWN> <%sB_TARGET> has been destroyed!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is dead!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"You surprised <%sB_LOG_ABILITY_DOWN><%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The <%sB_LOG_ABILITY_DOWN> <%sB_TARGET> has fallen completely!"
ODDMESSAGE_NO_YASUMI_OBIE,"You shocked <%sB_LOG_ABILITY_DOWN><%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI,"You made <%sB_LOG_ABILITY_DOWN><%sB_TARGET> war!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"You made <%sB_LOG_ABILITY_DOWN><%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"You made <%sB_LOG_ABILITY_DOWN><%sB_TARGET> laugh with a surreal pun!"
ODDMESSAGE_NO_YASUMI_KORI,"The <%sB_LOG_ABILITY_DOWN><%sB_TARGET> got chilled!"
ODDMESSAGE_NO_YASUMI_KORI2,"The <%sB_LOG_ABILITY_DOWN><%sB_TARGET> got chilled!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"You hit <%sB_LOG_ABILITY_DOWN><%sB_TARGET> with your tow!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is frightened!"
ODDMESSAGE_NO_YASUMI_ODORI,"Dancing <%sB_LOG_ABILITY_DOWN><%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was horrified and suffered!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is scared and has 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"You skipped <%sB_LOG_ABILITY_DOWN><%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_LOG_ABILITY_DOWN> <%sB_TARGET> fell off with a banana!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> caught a spider!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has fallen into a trap!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been tangled with thread!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_LOG_ABILITY_DOWN> <%sB_TARGET> tangled in clothes!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was locked in a mysterious moment!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been swallowed!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was replaced with bread!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has turned into a rose!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is ecstatic!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_LOG_ABILITY_DOWN> <%sB_TARGET> fell off its leg!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR> caught in <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR> was stunned by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR> was caught by <%sB_TARGET> and was confused!"
