Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET> has an easier counter!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET> has an easier counter!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET> has an easier counter!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"You've made <%sB_TARGET> paralyzed!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"You've made <%sB_TARGET> paralyzed!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET> was paralyzed!"
ODDMESSAGE_NO_NEMURI,"I put <%sB_TARGET> to sleep!"
ODDMESSAGE_NO_NEMURI_ENEMY,"You put <%sB_TARGET> to sleep!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> has been confused!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET> has fallen down!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"You surprised <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI,"The <%sB_TARGET> has fallen completely!"
ODDMESSAGE_NO_YASUMI_OBIE,"You shocked <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"You made <%sB_TARGET> laugh!"
ODDMESSAGE_NO_YASUMI_KORI,"The <%sB_TARGET> was frozen!"
ODDMESSAGE_NO_YASUMI_KORI2,"The <%sB_TARGET> got chilled!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"The <%sB_TARGET> was given a tortoise!"
ODDMESSAGE_NO_YASUMI_OYABUN,"You scared <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ODORI,"You made <%sB_TARGET> dance!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_TARGET> was shocked and suffered!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET> is frightened and has 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET> has fallen down!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET> slipped on a banana and fell!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET> caught a spider!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET> has fallen into a trap!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET> entwined with string!"
ODDMESSAGE_NO_YASUMI_TANSU,"You have caught <%sB_TARGET> with clothes!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET> was locked in a mysterious moment!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET> has been swallowed!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_TARGET> was replaced with bread!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_TARGET> was turned into a rose!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET> is ecstatic!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET> fell on its leg!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR> is enchanted by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR> was enchanted by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR> was caught by <%sB_TARGET> and was confused!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR> was enchanted by <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR> was frightened by <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET> wrapped in illusion!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"You blinded <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_SUNA,"You blinded <%sB_TARGET> with your sand!"
ODDMESSAGE_NO_GENWAKU_SUMI,"You blinded <%sB_TARGET> with Sumi!"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET> had their spells sealed!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"A wall of light has appeared in front of <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET> has a breath reflect!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET> is on its own."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET> was protected against attack."
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> was protected by Yaiba's defense."
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET> takes less damage!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET> takes less damage!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET> takes less damage!"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET> takes and deals less damage!"
