Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,"<%sB_TARGET> dodged swiftly!"
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,"<%sB_TARGET> blocked the attack with his shield!"
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,"<%sB_TARGET> countered the attack with his weapon!"
ODDMESSAGE_NO_SYSTEM_COUNTER,"Counter for <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_MAHI,""
ODDMESSAGE_NO_NEMURI,""
ODDMESSAGE_NO_KONRAN,""
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,""
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_FUIN_JUMON,""
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>'s wall of light repelled the spell!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> has taken <%dB_VALUE> extreme damage!"
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DOKU_MOUDOKU,""
ODDMESSAGE_NO_DOKU,""
ODDMESSAGE_NO_TENSIONBURN,""
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_TARGET> protected <%sB_BASE_TARGET>!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"<%sB_TARGET>'s Mahoste effect has cast a spell!"
ODDMESSAGE_NO_DMCUT_CRTGUARD,"<%sB_TARGET>'s critical guard!"
ODDMESSAGE_NO_DOT_SEISIN,""
ODDMESSAGE_NO_DOT_RIHOIMI,""
ODDMESSAGE_NO_BADST_MAMORINOTATE,""
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,""
ODDMESSAGE_NO_RATE_MIKAWASI,""
ODDMESSAGE_NO_RATE_ACROBAT,""
ODDMESSAGE_NO_RATE_TATEGUARD,""
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,""
ODDMESSAGE_NO_RATE_GUARDASTER,""
ODDMESSAGE_NO_OMOSA_UP,""
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,""
ODDMESSAGE_NO_MIRYO,""
ODDMESSAGE_NO_NOROI,""
ODDMESSAGE_NO_NOROI_HPDOWN,""
ODDMESSAGE_NO_NOROI_HPDOT,""
ODDMESSAGE_NO_NOROI_HPMPDOT,""
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,"<%dB_VALUE> of <%sB_ACTOR> MP recovered!"
ODDMESSAGE_NO_ABSORB_MP_STK,"<%sB_TARGET> has <%dB_VALUE> MP stolen!"
ODDMESSAGE_NO_ABSORB_HP,"<%sB_TARGET> has recovered <%dB_VALUE> HP!"
ODDMESSAGE_NO_DAMAGE_HPHEAL,"<%sB_TARGET> has recovered <%dB_VALUE> HP!"
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,"The spell of <%sB_TARGET> echoes!"
ODDMESSAGE_NO_CRT_UP,""
ODDMESSAGE_NO_HIKARINOHADO,""
ODDMESSAGE_NO_ABSORB_MP_GUARD,"<%sB_TARGET> blocks MP absorption!"
ODDMESSAGE_NO_ASSASSIN,""
ODDMESSAGE_NO_FREE_MPCOST,"<%sB_TARGET> did not consume MP!"
ODDMESSAGE_NO_MUKOU_PASSIVE,"Nothing happened to <%sB_TARGET>!"
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,""
