Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_LOG_ABILITY_UP><%sB_TARGET> is easy to get counters again!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_LOG_ABILITY_UP><%sB_TARGET> is now easier to counter again!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_LOG_ABILITY_UP><%sB_TARGET> is now easier to counter again!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_LOG_REACTION><%sB_ACTOR> is angry with <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_LOG_REACTION><%sB_ACTOR> is enraged at <%sB_TARGET>!"
ODDMESSAGE_NO_MAHI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is sick again!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is sick again!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was paralyzed again!"
ODDMESSAGE_NO_NEMURI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> fell asleep even deeper!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has fallen asleep even deeper!"
ODDMESSAGE_NO_KONRAN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is getting more confused!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is dead again!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was surprised again!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is dead again!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is shocked again!"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was a hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was a hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> laughed at another surreal pun!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is cold again!"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is cold again!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has fallen again!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is frightened again!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been caught dancing again!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> suffered again!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is scared again and has 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is dead again!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> slipped on bananas again!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been attacked by spiders again!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> fell into a trap again!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been entangled in threads again!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> got entangled in his clothes again!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> was once again imprisoned in a mysterious time!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been swallowed again!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been replaced with bread again!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> has been turned into a rose again!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> is enamored again!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET> fell on its leg again!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR> is seen again in <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR> was shocked to see <%sB_TARGET> again!"
