Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET> is now easy to use counters again!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET> is now easy to counter again!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET> has an easy counter once again!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_ACTOR> is angry with <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_ACTOR> is enraged at <%sB_TARGET>!"
ODDMESSAGE_NO_MAHI,"<%sB_TARGET> is sick again!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET> is sick again!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET> was paralyzed again!"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET> fell asleep even deeper!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET> has fallen asleep even deeper!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> is getting more and more confused!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET> is dead again!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET> was surprised again!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET> has fallen again!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET> was shocked again!"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET> was a hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"<%sB_TARGET> was a hit again!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET> laughed again!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET> is cold again!"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET> is cold again!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET> has taken off again!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET> is frightened again!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET> has been caught dancing again!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_TARGET> suffered again!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET> is frightened again and has 0 power!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET> is dead again!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET> slipped on bananas again!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET> got caught by a spider again!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET> has fallen into a trap again!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET> has been entangled in threads again!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET> has been entangled in his clothes again!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET> has been imprisoned once again!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET> has been swallowed again!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_TARGET> has been turned into bread again!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_TARGET> has been turned into a rose again!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET> is enamored again!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET> tripped and fell again!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR> is seen again in <%sB_TARGET>!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR> was fascinated by <%sB_TARGET> again!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR> has been caught by <%sB_TARGET> again!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR> has been fascinated by <%sB_TARGET> again!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR> is scared of <%sB_TARGET> again!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET> has been shrouded in more illusions!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET> is even more blinded!"
ODDMESSAGE_NO_GENWAKU_SUNA,"More sun in <%sB_TARGET>'s eyes!"
ODDMESSAGE_NO_GENWAKU_SUMI,"<%sB_TARGET> has more ink in his eyes!"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET> has been enchanted again!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"In front of <%sB_TARGET>, a wall of light appears again!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET> has the cold again!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET> is defending itself again."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET> is defending itself again in case of attack."
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> is defending itself with Yaiba Defense again."
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET> takes less damage again!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET> takes less damage again!"
