Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_COUNTER_TENTI,""
ODDMESSAGE_NO_COUNTER_UP,""
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_NEMURI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_NEMURI_ENEMY,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_KONRAN,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOKERU,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_OBIE,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"No puns on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KORI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KORI2,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_OYABUN,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET> was not caught!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_TARGET> was boring!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET> was terrifying!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET> didn't fall over with a banana!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"No spiders heard from <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET> has dodged the trap!"
ODDMESSAGE_NO_YASUMI_ITO,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_TANSU,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_BALL,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_HOLE,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_PAN,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_ROSE,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_GENWAKU_SUNA,"<%sB_TARGET> has shaken off sand!"
ODDMESSAGE_NO_GENWAKU_SUMI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_FUIN_JUMON,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_PHALANX,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_EIGIS,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DAMAGE_0,"Didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_DMUP_BUSSITU,"Had no effect on <%sB_TARGET>!"
