Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_ACTOR> is ready for attack!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_ACTOR> is ready for attack!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_ACTOR> is ready for attack!"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"<%sB_ACTOR> is numb and can't move!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_ACTOR> is numb and can't move!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_ACTOR> is paralyzed and cannot move!"
ODDMESSAGE_NO_NEMURI,"<%sB_ACTOR> is sleeping!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_ACTOR> is sleeping!"
ODDMESSAGE_NO_KONRAN,"<%sB_ACTOR> is in trouble!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_ACTOR> still can't get up!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_ACTOR> can't stand up yet!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_ACTOR> still can't get up!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_ACTOR> is shocked!"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_ACTOR> can't stop laughing!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"<%sB_ACTOR> is angry and laughing!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_ACTOR> is laughing!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_ACTOR> is stiff and can't move!"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_ACTOR> is stiff and can't move!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_ACTOR> is shaking!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_ACTOR> is scared!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_ACTOR> is tempted to dance!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_TARGET> is in pain!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_ACTOR> is trembling!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_ACTOR> can't stand up yet!"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_ACTOR> is stopped!"
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,"<%sB_ACTOR> can't move due to recoil!"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_ACTOR> can't stand up yet!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_ACTOR> still can't get up!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_ACTOR> can't stand up yet!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_ACTOR> is entangled in strings and can't move!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_ACTOR> can't move because of his clothes!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_ACTOR> is trapped and can't move!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_ACTOR> is trapped and can't move!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_ACTOR> is panned and can't move!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_ACTOR> is in pieces and can't move!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_ACTOR> is enraptured and unable to move!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_ACTOR> can't get up yet!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR> is too enthralled to move!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR> is paralyzed and can't move!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR> is in trouble!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR> is enchanted!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR> is afraid to move!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_GENWAKU_SUNA,""
ODDMESSAGE_NO_GENWAKU_SUMI,""
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_ACTOR>'s spell has been thwarted!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,""
ODDMESSAGE_NO_HANSYA_OIKAZE,""
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_ACTOR> is on his own."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_ACTOR> is ready for any attack!"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_ACTOR> is defending himself with Yaiba Defense!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,""
ODDMESSAGE_NO_DMCUT_SUPERARMOR,""
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,""
ODDMESSAGE_NO_DMCUT_PHALANX,""
ODDMESSAGE_NO_DMCUT_EIGIS,""
ODDMESSAGE_NO_DMCUT_SEXTUKOU,""
ODDMESSAGE_NO_DAMAGE_0,""
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DMUP_SUKOSI,""
