Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_MAHI,"<%sB_TARGET> is paralyzed and can't move!"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET> is sleeping!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> is in trouble!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET> can't get up yet!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET> is thirsty!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET> is frozen and unable to move!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET> is tempted to dance!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET> is trembling!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET> can't move due to tangled threads!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET> is trapped and can't move!"
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_FUIN_JUMON,""
ODDMESSAGE_NO_HANSYA_MAHOKANTA,""
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET> is on its own."
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET> is ready for attack!"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> is protected by Yaiba Defense!"
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DOKU_MOUDOKU,""
ODDMESSAGE_NO_DOKU,""
ODDMESSAGE_NO_TENSIONBURN,""
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_TARGET> is paying attention to his allies!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,""
ODDMESSAGE_NO_DMCUT_CRTGUARD,""
ODDMESSAGE_NO_DOT_SEISIN,""
ODDMESSAGE_NO_DOT_RIHOIMI,""
ODDMESSAGE_NO_BADST_MAMORINOTATE,""
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,""
ODDMESSAGE_NO_RATE_MIKAWASI,""
ODDMESSAGE_NO_RATE_ACROBAT,""
ODDMESSAGE_NO_RATE_TATEGUARD,""
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,""
ODDMESSAGE_NO_RATE_GUARDASTER,""
ODDMESSAGE_NO_OMOSA_UP,""
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,""
ODDMESSAGE_NO_MIRYO,""
ODDMESSAGE_NO_NOROI,""
ODDMESSAGE_NO_NOROI_HPDOWN,""
ODDMESSAGE_NO_NOROI_HPDOT,""
ODDMESSAGE_NO_NOROI_HPMPDOT,""
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,""
ODDMESSAGE_NO_ABSORB_MP_STK,""
ODDMESSAGE_NO_ABSORB_HP,""
ODDMESSAGE_NO_DAMAGE_HPHEAL,""
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,""
ODDMESSAGE_NO_CRT_UP,""
ODDMESSAGE_NO_HIKARINOHADO,""
ODDMESSAGE_NO_ABSORB_MP_GUARD,""
ODDMESSAGE_NO_ASSASSIN,""
ODDMESSAGE_NO_FREE_MPCOST,""
ODDMESSAGE_NO_MUKOU_PASSIVE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,""
