Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"The counter rate of <%sB_TARGET> is back!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET>'s heaven and earth are gone!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET>'s shield counter has gone up!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_TARGET>'s anger subsided"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_TARGET>'s anger subsided"
ODDMESSAGE_NO_MAHI,"The numbness of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET>'s numbness is gone!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET> has woken up!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET> has woken up!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>'s power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_TARGET>'s power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,"<%sB_TARGET> is on the move!"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_TARGET> is back!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_TARGET> is back!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET> is up!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The numbness of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The illusion of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"The illusion of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_GENWAKU_SUNA,"You've seen <%sB_TARGET>'s eyes!"
ODDMESSAGE_NO_GENWAKU_SUMI,"The illusion of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_FUIN_JUMON,"The spell seal on <%sB_TARGET> has been broken!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>'s Mahokanta has disappeared!"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>'s breath reflect is gone!"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET> has taken off guard!"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET> has taken off guard!"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET> has cleared his defence!"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>'s damage barrier effect is gone!"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"The effect of <%sB_TARGET>'s Super Armor has expired!"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>'s impregnable defense has ended!"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET>'s phalanx effect is gone!"
