Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"The counter rate of <%sB_LOG_REACTION><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_LOG_REACTION><%sB_TARGET>'s heaven and earth are gone!"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_LOG_REACTION> <%sB_TARGET>'s shield counter has gone up!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_LOG_REACTION><%sB_TARGET>'s anger has subsided!"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_LOG_REACTION><%sB_TARGET>'s anger has subsided!"
ODDMESSAGE_NO_MAHI,"The numbness of <%sB_LOG_RECOVERY><%sB_TARGET> is gone!"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"The numbness of <%sB_LOG_RECOVERY><%sB_TARGET> is gone!"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_NEMURI,"<%sB_LOG_RECOVERY><%sB_TARGET> has woken up!"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_LOG_RECOVERY><%sB_TARGET> has woken up!"
ODDMESSAGE_NO_KONRAN,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_NARIKIRI,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_ANLUCIA,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_LOG_RECOVERY><%sB_TARGET>'s power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_LOG_RECOVERY><%sB_TARGET>'s power has returned to normal!"
ODDMESSAGE_NO_YASUMI_TEISI_BOUKYAKU,"<%sB_LOG_RECOVERY><%sB_TARGET> is on the move!"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_LOG_RECOVERY><%sB_TARGET> can now move!"
ODDMESSAGE_NO_YASUMI_PAN,"<%sB_LOG_RECOVERY><%sB_TARGET> is back!"
ODDMESSAGE_NO_YASUMI_ROSE,"<%sB_LOG_RECOVERY><%sB_TARGET> is back!"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_LOG_RECOVERY><%sB_TARGET> is up!"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"The numbness of <%sB_LOG_RECOVERY><%sB_TARGET> is gone!"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_LOG_RECOVERY><%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The illusion of <%sB_LOG_RECOVERY><%sB_TARGET> is gone!"
