Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"The counter rate of <%sB_TARGET> is back!"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_TARGET>'s anger has subsided!"
ODDMESSAGE_NO_MAHI,"The numbness of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET> has woken up!"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>'s power has returned to normal!"
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"The illusion of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_GENWAKU_KURAMU,"The illusion of <%sB_TARGET> is gone!"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>'s Mahotone has melted!"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>'s Mahokanta has disappeared!"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMUP,"The damage increase effect of <%sB_TARGET> has ended!"
ODDMESSAGE_NO_DOKU_MOUDOKU,"The body of <%sB_TARGET> is cured of poison!"
ODDMESSAGE_NO_DOKU,"The body of <%sB_TARGET> has been poisoned!"
ODDMESSAGE_NO_TENSIONBURN,"<%sB_TARGET>'s Tension Burn effect is gone!"
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_TARGET> has stopped covering!"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"<%sB_TARGET>'s mahoste has expired."
ODDMESSAGE_NO_DMCUT_CRTGUARD,"<%sB_TARGET>'s critical guard has passed."
ODDMESSAGE_NO_DOT_SEISIN,"<%sB_TARGET>'s breath of magic has ended."
ODDMESSAGE_NO_DOT_RIHOIMI,"<%sB_TARGET> Rihoimi's HP recovery is over!"
ODDMESSAGE_NO_BADST_MAMORINOTATE,"The effect of <%sB_TARGET>'s protection has been removed!"
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,"<%sB_TARGET>'s Miracle Zone has melted!"
ODDMESSAGE_NO_RATE_MIKAWASI,"<%sB_TARGET>'s evasion rate is back to normal!"
ODDMESSAGE_NO_RATE_ACROBAT,"<%sB_TARGET>'s Acrobat Star has melted!"
ODDMESSAGE_NO_RATE_TATEGUARD,"<%sB_TARGET>'s shield guard rate is back to normal!"
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,"<%sB_TARGET>'s Weapon Guard Rate is back!"
ODDMESSAGE_NO_RATE_GUARDMASTER,"The guard rate of <%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_OMOSA_UP,"The weight of <%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,"<%sB_TARGET>'s cane effect has expired!"
ODDMESSAGE_NO_MIRYO,"The charm of <%sB_TARGET> has disappeared!"
ODDMESSAGE_NO_NOROI,"The curse of <%sB_TARGET> has been lifted!"
ODDMESSAGE_NO_NOROI_HPDOWN,"The curse of <%sB_TARGET> has been lifted!"
ODDMESSAGE_NO_NOROI_HPDOT,"The curse of <%sB_TARGET> has been lifted!"
ODDMESSAGE_NO_NOROI_HPMPDOT,"The curse of <%sB_TARGET> has been lifted!"
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,""
ODDMESSAGE_NO_ABSORB_MP_STK,""
ODDMESSAGE_NO_ABSORB_HP,""
ODDMESSAGE_NO_DAMAGE_HPHEAL,"<%sB_TARGET> damage has healed HP HEAL!"
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,"A good effect of <%sB_TARGET> has been nullified!"
ODDMESSAGE_NO_CRT_UP,"<%sB_TARGET>'s critical and spell attack rates are back to normal."
ODDMESSAGE_NO_HIKARINOHADO,"The bad effects of <%sB_TARGET> have been wiped out!"
ODDMESSAGE_NO_ABSORB_MP_GUARD,""
ODDMESSAGE_NO_ASSASSIN,""
ODDMESSAGE_NO_FREE_MPCOST,""
ODDMESSAGE_NO_MUKOU_PASSIVE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,"<%sB_TARGET>'s ice resistance has returned to normal!"
