Key,SourceString
NAME_ID_ITEM_EQUIP_ACCESSORIES_AKUSERUGIA,"Mechanical Monocle"
NAME_ID_ITEM_EQUIP_ACCESSORIES_UXENA-RUPIASU,"Wenal Earrings"
NAME_ID_ITEM_EQUIP_ACCESSORIES_SURAIMUPIASU,"Slime Earrings"
NAME_ID_ITEM_EQUIP_ACCESSORIES_HOSHIKUZUNOPIASU,"Stardust Earrings"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KUROBUCHIMEGANEMARU,"Black Round Glasses"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KUROBUCHIMEGANEKAKU,"Black Square Glasses"
NAME_ID_ITEM_EQUIP_ACCESSORIES_FANTOMUMASUKU,"Phantom Mask"
NAME_ID_ITEM_EQUIP_ACCESSORIES_MASUKAREIDOMASUKU,"Masquerade Mask"
NAME_ID_ITEM_EQUIP_ACCESSORIES_HUSAHUSANOHIGE,"Fluffy Mustache"
NAME_ID_ITEM_EQUIP_ACCESSORIES_HUCHINASHIMEGANE,"Borderless Specs"
NAME_ID_ITEM_EQUIP_ACCESSORIES_IYASHINOMEGANE,"X-Ray Specs"
NAME_ID_ITEM_EQUIP_ACCESSORIES_OKARUTOMEGANE,"Occult Glasses"
NAME_ID_ITEM_EQUIP_ACCESSORIES_DANDEXISANGURASU,"Aviator Sunglasses"
NAME_ID_ITEM_EQUIP_ACCESSORIES_MAJIKARUMEGANE,"Magical Glasses"
NAME_ID_ITEM_EQUIP_ACCESSORIES_PATEXIMEGANE,"Stimulating Specs"
NAME_ID_ITEM_EQUIP_ACCESSORIES_GURUGURUNOMEGANE,"Safety Goggles"
NAME_ID_ITEM_EQUIP_ACCESSORIES_HUSAHUSANOSHIROHIGE,"Fluffy White Mustache"
NAME_ID_ITEM_EQUIP_ACCESSORIES_CHICHUUGOGURU,"Subterranean Goggles"
NAME_ID_ITEM_EQUIP_ACCESSORIES_NEKOHIGE,"Cat Whiskers"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KUROAIPACCHI,"Black Eyepatch"
NAME_ID_ITEM_EQUIP_ACCESSORIES_SHIROAIPACCHI,"White Eyepatch"
NAME_ID_ITEM_EQUIP_ACCESSORIES_AKUREINOKAMEN,"Evil Spirit Mask"
NAME_ID_ITEM_EQUIP_ACCESSORIES_ERAIHITONOHIGE,"Big-Wig Mustache"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KYOUJYUNOMEGANE,"Professor's Specs"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KAIKETSUMASUKU,"Marveling Mask"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KISHINNOGANKOU,"Mechanical Eye"
NAME_ID_ITEM_EQUIP_ACCESSORIES_MONOKURU,"Monocle"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KAIMANOGANKOU,"Merman's Eye"
NAME_ID_ITEM_EQUIP_ACCESSORIES_TYOUNEKUTAI,"Bow Tie"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KINNONEKKURESU,"Gold Chain"
NAME_ID_ITEM_EQUIP_ACCESSORIES_TIKARANOPENNDANTO,"Wrecklace"
NAME_ID_ITEM_EQUIP_ACCESSORIES_MAMORINOPENDANTO,"Adamant Pendant"
NAME_ID_ITEM_EQUIP_ACCESSORIES_YOUSEINOKUBIKAZARI,"Papillon Pendant"
NAME_ID_ITEM_EQUIP_ACCESSORIES_RAKKIPENDANTO,"Lucky Pendant"
NAME_ID_ITEM_EQUIP_ACCESSORIES_HAATONOPENDANTO,"Heart Pendant"
NAME_ID_ITEM_EQUIP_ACCESSORIES_KINNOROZARIO,"Gold Rosary"
NAME_ID_ITEM_EQUIP_ACCESSORIES_GINNOROZARIO,"Silver Rosary"
NAME_ID_ITEM_EQUIP_ACCESSORIES_BATORUTYOUKAA,"Dogged Collar"
