Key,SourceString
ID_NAME_COMPANION_ANLUCEA,"Anlucia"
ID_NAME_COMPANION_DASUTON,"Duston"
ID_NAME_COMPANION_FUURA,"Fuura"
ID_NAME_COMPANION_HYUZA,"Hyuza"
ID_NAME_COMPANION_MAIYU,"Maille"
ID_NAME_COMPANION_RAGUASU,"Raguas"
ID_NAME_GUEST_DASUTON,"Duston"
ID_NAME_GUEST_DWURA,"Dura"
ID_NAME_GUEST_EIDOS,"Eidos"
ID_NAME_GUEST_FIIRO,"Firo"
ID_NAME_GUEST_FOSUTEIRU,"Fostail"
ID_NAME_GUEST_FUURA,"Fuura"
ID_NAME_GUEST_GARUMII,"Garumi"
ID_NAME_GUEST_HIMEA,"Himea"
ID_NAME_GUEST_HYUZA,"Hyuza"
ID_NAME_GUEST_KINNER,"Kinner"
ID_NAME_GUEST_KYUUSUKE,"Kyusuke"
ID_NAME_GUEST_MAIYU,"Maille"
ID_NAME_GUEST_MISHUA,"Mishua"
ID_NAME_GUEST_MUNISU_KING,"King Moonis"
ID_NAME_GUEST_NABURETTO,"Nablette"
ID_NAME_GUEST_ORDIS,"Odis"
ID_NAME_GUEST_POIKKURINN,"Poiclin"
ID_NAME_GUEST_POTSUKONNICHIGOU,"Junkey"
ID_NAME_GUEST_RAGUASU,"Raguas"
ID_NAME_GUEST_RASUKA,"Raska"
ID_NAME_GUEST_RUNANA,"Lunana"
ID_NAME_GUEST_SERAFI,"Seraphi"
ID_NAME_GUEST_SIBLING,"Brothers"
ID_NAME_GUEST_SINI,"Shini"
ID_NAME_GUEST_SOMYA,"Somya"
