Key,SourceString
ID_MONSTER_NAME_00100,"Slime"
ID_MONSTER_NAME_00101,"She-Slime"
ID_MONSTER_NAME_00102,"Metal Slime"
ID_MONSTER_NAME_00107,"Rookie Metal Slime"
ID_MONSTER_NAME_00200,"Dracky"
ID_MONSTER_NAME_00201,"Drackmage"
ID_MONSTER_NAME_00202,"Drackyma"
ID_MONSTER_NAME_00203,"Drackolyte"
ID_MONSTER_NAME_00300,"Woebergine"
ID_MONSTER_NAME_00301,"Awebergine"
ID_MONSTER_NAME_00302,"Foebergine"
ID_MONSTER_NAME_00304,"Large Woebergine"
ID_MONSTER_NAME_00400,"Bubble Slime"
ID_MONSTER_NAME_00401,"Liquid Metal Slime"
ID_MONSTER_NAME_00500,"Candy Cat"
ID_MONSTER_NAME_00501,"Jailcat"
ID_MONSTER_NAME_00502,"Terror Tabby"
ID_MONSTER_NAME_00506,"Meowla"
ID_MONSTER_NAME_00507,"Kaleidocat"
ID_MONSTER_NAME_00600,"Ornery Onion"
ID_MONSTER_NAME_00601,"Loathsome Leek"
ID_MONSTER_NAME_00602,"Brimstone Bulb"
ID_MONSTER_NAME_00603,"Haunted Tomato"
ID_MONSTER_NAME_00700,"Bunicorn"
ID_MONSTER_NAME_00701,"Spiked Hare"
ID_MONSTER_NAME_00702,"24-Carrot Bunicorn"
ID_MONSTER_NAME_00800,"Shell Slime"
ID_MONSTER_NAME_00801,"Seaslime"
ID_MONSTER_NAME_00802,"Slimecicle"
ID_MONSTER_NAME_00804,"Mama Snail Slime"
ID_MONSTER_NAME_00806,"Tundracky"
ID_MONSTER_NAME_00900,"Feralball"
ID_MONSTER_NAME_00901,"Rotten Cotton"
ID_MONSTER_NAME_00902,"Feralbeast"
ID_MONSTER_NAME_00903,"Pink Bonbon"
ID_MONSTER_NAME_01000,"Firespirit"
ID_MONSTER_NAME_01001,"Lost Soul"
ID_MONSTER_NAME_01007,"Murderous Soul"
ID_MONSTER_NAME_01100,"Mischievous Mole"
ID_MONSTER_NAME_01101,"Mad Mole"
ID_MONSTER_NAME_01102,"Maniacal Mole"
ID_MONSTER_NAME_01104,"Soul Mole"
ID_MONSTER_NAME_01105,"Murderous Mole"
ID_MONSTER_NAME_01200,"Khalamari Kid"
ID_MONSTER_NAME_01201,"Squid Kid"
ID_MONSTER_NAME_01202,"Octopot"
ID_MONSTER_NAME_01205,"Abyssal Octopot"
ID_MONSTER_NAME_01300,"Scarfish"
ID_MONSTER_NAME_01301,"Trickstar"
ID_MONSTER_NAME_01302,"Champ Star"
ID_MONSTER_NAME_01400,"Ghost"
ID_MONSTER_NAME_01401,"Fightgeist"
ID_MONSTER_NAME_01402,"Spitegeist"
ID_MONSTER_NAME_01404,"Jiangshi Ghost"
ID_MONSTER_NAME_01500,"Healslime"
ID_MONSTER_NAME_01501,"Man o' War"
ID_MONSTER_NAME_01502,"Cureslime"
ID_MONSTER_NAME_01503,"Sootheslime"
ID_MONSTER_NAME_01504,"Medislime"
ID_MONSTER_NAME_01508,"Metal Healie"
ID_MONSTER_NAME_01600,"Bag o' Laughs"
ID_MONSTER_NAME_01601,"Goodybag"
ID_MONSTER_NAME_01602,"Bag o' Sweets"
ID_MONSTER_NAME_01800,"Grudgerigar"
ID_MONSTER_NAME_01801,"Paralakeet"
ID_MONSTER_NAME_01802,"Bludgerigar"
ID_MONSTER_NAME_01900,"Zepling"
ID_MONSTER_NAME_01901,"Healium Balloon"
ID_MONSTER_NAME_01902,"Discombombulator"
ID_MONSTER_NAME_01903,"Li'l Whizzer"
ID_MONSTER_NAME_01904,"Cursed Shade"
ID_MONSTER_NAME_01905,"Pombomb"
ID_MONSTER_NAME_01906,"Big Pombomb"
ID_MONSTER_NAME_02100,"Crabid"
ID_MONSTER_NAME_02101,"Crabber Dabber Doo"
ID_MONSTER_NAME_02102,"Handsome Crab"
ID_MONSTER_NAME_02103,"King Crab"
ID_MONSTER_NAME_02104,"Item Number 7"
ID_MONSTER_NAME_02200,"Meowgician"
ID_MONSTER_NAME_02201,"Clawcerer"
ID_MONSTER_NAME_02202,"Purrestidigitator"
ID_MONSTER_NAME_02203,"Whiskamancer"
ID_MONSTER_NAME_02204,"Mubes"
ID_MONSTER_NAME_02205,"Momia"
ID_MONSTER_NAME_02206,"Nyorabalt"
ID_MONSTER_NAME_02207,"Myarzar"
ID_MONSTER_NAME_02208,"Cat Demito"
ID_MONSTER_NAME_02300,"Monolog"
ID_MONSTER_NAME_02301,"Direlog"
ID_MONSTER_NAME_02302,"Motherwood"
ID_MONSTER_NAME_02303,"Tree Sage"
ID_MONSTER_NAME_02307,"Caticonjurer"
ID_MONSTER_NAME_02400,"Muddy Hand"
ID_MONSTER_NAME_02401,"Bloody Hand"
ID_MONSTER_NAME_02500,"Mecha-Mynah"
ID_MONSTER_NAME_02501,"Clockwork Cuckoo"
ID_MONSTER_NAME_02502,"Robo-Robin"
ID_MONSTER_NAME_02503,"Firewerk"
ID_MONSTER_NAME_02700,"Pogoin' Penguin"
ID_MONSTER_NAME_02701,"Rockin' Rockhopper"
ID_MONSTER_NAME_02702,"Emperor Tapper"
ID_MONSTER_NAME_02800,"Waspion"
ID_MONSTER_NAME_02801,"Scornet"
ID_MONSTER_NAME_02802,"Rumble Bee"
ID_MONSTER_NAME_02900,"Vampire Cat"
ID_MONSTER_NAME_02901,"Catula"
ID_MONSTER_NAME_02902,"Night Cat"
ID_MONSTER_NAME_02903,"Sexy Cat"
ID_MONSTER_NAME_02904,"Pretty Cat"
ID_MONSTER_NAME_03000,"Killerpillar"
ID_MONSTER_NAME_03001,"Illerpillar"
ID_MONSTER_NAME_03002,"Grillerpillar"
ID_MONSTER_NAME_03100,"Bodkin Fletcher"
ID_MONSTER_NAME_03101,"Bodkin Archer"
ID_MONSTER_NAME_03102,"Bodkin Bowyer"
ID_MONSTER_NAME_03103,"Bodkin Bloodbow"
ID_MONSTER_NAME_03200,"Lunatick"
ID_MONSTER_NAME_03201,"Raving Lunatick"
ID_MONSTER_NAME_03202,"Queen Lunatick"
ID_MONSTER_NAME_03203,"Lunatick Prince"
ID_MONSTER_NAME_03300,"Hammerhood"
ID_MONSTER_NAME_03301,"Brownie"
ID_MONSTER_NAME_03302,"Spiked Clubber"
ID_MONSTER_NAME_03400,"Ruff Ruffian"
ID_MONSTER_NAME_03401,"Sea Dog"
ID_MONSTER_NAME_03402,"Summer Wolf"
ID_MONSTER_NAME_03403,"Sardon's Minion"
ID_MONSTER_NAME_03500,"Pickayune"
ID_MONSTER_NAME_03501,"Picksy"
ID_MONSTER_NAME_03502,"Pickeerer"
ID_MONSTER_NAME_03600,"Cumaulus"
ID_MONSTER_NAME_03601,"Hell Nino"
ID_MONSTER_NAME_03602,"Freezing Fog"
ID_MONSTER_NAME_03603,"Demon Cloud"
ID_MONSTER_NAME_03700,"Haardvark"
ID_MONSTER_NAME_03701,"Guaardvark"
ID_MONSTER_NAME_03702,"Scallop Wallaby"
ID_MONSTER_NAME_03703,"Sacred Silver Haardvark"
ID_MONSTER_NAME_03800,"Gremlin"
ID_MONSTER_NAME_03801,"Grimlin"
ID_MONSTER_NAME_03802,"Baalzebub"
ID_MONSTER_NAME_03803,"Ruggy"
ID_MONSTER_NAME_03804,"Muggy"
ID_MONSTER_NAME_03805,"Chuggy"
ID_MONSTER_NAME_03900,"Leery Lout"
ID_MONSTER_NAME_03901,"Gum Shield"
ID_MONSTER_NAME_03902,"Grim Grinner"
ID_MONSTER_NAME_03903,"Elder Shield"
ID_MONSTER_NAME_04100,"Wax Murderer"
ID_MONSTER_NAME_04101,"Wickerman"
ID_MONSTER_NAME_04102,"Killer Torch"
ID_MONSTER_NAME_04200,"Lickspittle"
ID_MONSTER_NAME_04201,"Frolicker"
ID_MONSTER_NAME_04202,"Drooling Ghoul"
ID_MONSTER_NAME_04203,"Ancient Lickspittle"
ID_MONSTER_NAME_04400,"Winkster"
ID_MONSTER_NAME_04401,"Jinkster"
ID_MONSTER_NAME_04402,"Blinkster"
ID_MONSTER_NAME_04500,"Frizzard"
ID_MONSTER_NAME_04501,"Sizzard"
ID_MONSTER_NAME_04502,"Small Fry"
ID_MONSTER_NAME_04503,"Little Wyvern"
ID_MONSTER_NAME_04600,"Dancing Devil"
ID_MONSTER_NAME_04601,"Tap Devil"
ID_MONSTER_NAME_04602,"Caped Caperer"
ID_MONSTER_NAME_04603,"Boogieman"
ID_MONSTER_NAME_04604,"Star Devil"
ID_MONSTER_NAME_04700,"Paralyslicer"
ID_MONSTER_NAME_04701,"Erazor Blade"
ID_MONSTER_NAME_04702,"Bloody Blade"
ID_MONSTER_NAME_04800,"Damselfly"
ID_MONSTER_NAME_04801,"Splutterfly"
ID_MONSTER_NAME_04802,"Cutterfly"
ID_MONSTER_NAME_04900,"Skeleton"
ID_MONSTER_NAME_04901,"Skeleton Soldier"
ID_MONSTER_NAME_04902,"Dark Skeleton"
ID_MONSTER_NAME_04903,"Viking Soul"
ID_MONSTER_NAME_04904,"Low Ghost Soldier"
ID_MONSTER_NAME_04905_A,"Skeleton A"
ID_MONSTER_NAME_04905_B,"Skeleton B"
ID_MONSTER_NAME_05000,"Foo Dog"
ID_MONSTER_NAME_05001,"Abracadabrador"
ID_MONSTER_NAME_05002,"Hot Dog"
ID_MONSTER_NAME_05003,"King Foo Dog"
ID_MONSTER_NAME_05200,"Gamigin"
ID_MONSTER_NAME_05201,"Orobas"
ID_MONSTER_NAME_05202,"Samigina"
ID_MONSTER_NAME_05203,"Red Baron"
ID_MONSTER_NAME_05204,"Relulu"
ID_MONSTER_NAME_05300,"Sootbonce"
ID_MONSTER_NAME_05301,"Goobonce"
ID_MONSTER_NAME_05302,"Snotbonce"
ID_MONSTER_NAME_05303,"Seal Left Hand"
ID_MONSTER_NAME_05400,"Smogbonnet"
ID_MONSTER_NAME_05401,"Bloodbonnet"
ID_MONSTER_NAME_05402,"Bilebonnet"
ID_MONSTER_NAME_05403,"Seal Right Hand"
ID_MONSTER_NAME_05500,"Treevil"
ID_MONSTER_NAME_05501,"Treeface"
ID_MONSTER_NAME_05502,"Antiquitree"
ID_MONSTER_NAME_05503,"Tree of Hatred"
ID_MONSTER_NAME_05600,"Pteranodon"
ID_MONSTER_NAME_05601,"Chillanodon"
ID_MONSTER_NAME_05602,"Terrornodon"
ID_MONSTER_NAME_05603,"Quetzalcoatlus"
ID_MONSTER_NAME_05604,"Eerie Bird Quat"
ID_MONSTER_NAME_05800,"Wrecktor"
ID_MONSTER_NAME_05801,"Whackolyte"
ID_MONSTER_NAME_05900,"Nail Blighter"
ID_MONSTER_NAME_05901,"Claw Breaker"
ID_MONSTER_NAME_05902,"Scratcher"
ID_MONSTER_NAME_05903,"Hexen Beast"
ID_MONSTER_NAME_06100,"Powie Yowie"
ID_MONSTER_NAME_06101,"Sasquash"
ID_MONSTER_NAME_06102,"Sweaty Yeti"
ID_MONSTER_NAME_06105,"Mote Mote"
ID_MONSTER_NAME_06200,"Orc"
ID_MONSTER_NAME_06201,"Orc King"
ID_MONSTER_NAME_06202,"Orc Chieftain"
ID_MONSTER_NAME_06300,"Beakon"
ID_MONSTER_NAME_06301,"Weaken Beakon"
ID_MONSTER_NAME_06302,"Belisha Beakon"
ID_MONSTER_NAME_06400,"Chimaera"
ID_MONSTER_NAME_06401,"Hocus Chimaera"
ID_MONSTER_NAME_06402,"Cosmic Chimaera"
