Key,SourceString
CONDMESSAGE_NAME_NO_NONE,"(None)"
CONDMESSAGE_NAME_NO_ABSORBHP_PER_UP_BUFF,"HP recovery when attacking"
CONDMESSAGE_NAME_NO_ABSORBMP_PER_UP,"MP recovery when attacking"
CONDMESSAGE_NAME_NO_CASTTIME_CUT,"Sometimes spell twice"
CONDMESSAGE_NAME_NO_CASTTIME_CUT_SET,"Sometimes spell twice"
CONDMESSAGE_NAME_NO_CONSUMEMP_CUT,"Do not consume MP"
CONDMESSAGE_NAME_NO_CONV_DM_TO_HP_IYASI,"HP recovery by dmg"
CONDMESSAGE_NAME_NO_CONV_DM_TO_MP_KOROMO,"MP recovery from dmg"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_4,"Breath dmg reduction"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_3,"Breath dmg reduction"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_2,"Breath dmg increased"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_1,"Breath dmg increased"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_4,"Spell dmg reduction"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_3,"Spell dmg reduction"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_2,"Spell dmg increase"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_1,"Spell dmg increase"
CONDMESSAGE_NAME_NO_DMCUT_BOUGYO_MAHOZIN,"Dmg reduction"
CONDMESSAGE_NAME_NO_DEFENCE_DMCUT_PHALANX,"Dmg reduction"
CONDMESSAGE_NAME_NO_DEFENCE_DMCUT_NIOUDATI,"Dmg reduction"
CONDMESSAGE_NAME_NO_DEFENCE_DM_CHANGE_PER,"Dmg increase"
CONDMESSAGE_NAME_NO_RESIST_JOUTAIIJOU,"Increased status resistance"
CONDMESSAGE_NAME_NO_DEFFECNE_ODD_RATEDOWN,"Status resistance down"
CONDMESSAGE_NAME_NO_DOT_DOKU,"Poisoned"
CONDMESSAGE_NAME_NO_CURSE_DOT_HP,"HP gradually decreases"
CONDMESSAGE_NAME_NO_DOT_TAIDEN,"Charged"
CONDMESSAGE_NAME_NO_RERAISE,"Revive on death"
CONDMESSAGE_NAME_NO_FOOD_KAIFUKUMARYOKU_PLUS,"Magic mending up"
CONDMESSAGE_NAME_NO_ODD_KAIFUKUMARYOKU_PLUS,"Magic mending up"
CONDMESSAGE_NAME_NO_DMCUT_KAISIN,"Critical dmg reduction"
CONDMESSAGE_NAME_NO_FOOD_KIYOUSA_PLUS,"Deftness Up"
CONDMESSAGE_NAME_NO_FOOD_KOUGEKIMARYOKU_PLUS,"Magic might up"
