Key,SourceString
NAME_ID_ITEM_DAIJINAMONO_ADAMASUREZA,"Adamas Leather",
RUBY_ID_ITEM_DAIJINAMONO_ADAMASUREZA,"Adamas Leather",
EXPLANATION_ID_ITEM_DAIJINAMONO_ADAMASUREZA,"Very tough skin\neven scissors\ncan't cut.",
NAME_ID_ITEM_DAIJINAMONO_AKAIGEKKOUNOHANA,"Red Moonlit Flower",
RUBY_ID_ITEM_DAIJINAMONO_AKAIGEKKOUNOHANA,"Red Moonlit Flower",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAIGEKKOUNOHANA,"Flower with a\nperplexing\nFragrance.",
NAME_ID_ITEM_DAIJINAMONO_AKAIKABIN,"Red Vase",
RUBY_ID_ITEM_DAIJINAMONO_AKAIKABIN,"Red Vase",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAIKABIN,"High class vase\nmade of joined\nbroken pieces.",
NAME_ID_ITEM_DAIJINAMONO_AKAIKOBIN,"Red Phial",
RUBY_ID_ITEM_DAIJINAMONO_AKAIKOBIN,"Red Phial",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAIKOBIN,"A glass phial left in\na Pukulipo merchant's\nSpecial Storage.",
NAME_ID_ITEM_DAIJINAMONO_AKAISABI,"Red Rust",
RUBY_ID_ITEM_DAIJINAMONO_AKAISABI,"Red Rust",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAISABI,"Bright red rust\nfrom the body\nof Bloody Blade.",
NAME_ID_ITEM_DAIJINAMONO_AKANOKIDOUSEKI,"Red Starting Stone",
RUBY_ID_ITEM_DAIJINAMONO_AKANOKIDOUSEKI,"Red Starting Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKANOKIDOUSEKI,"Starts red\ncontrol table\nin Rinja Tower.",
NAME_ID_ITEM_DAIJINAMONO_AKANOKIIENBUREMU,"Red Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_AKANOKIIENBUREMU,"Red Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKANOKIIENBUREMU,"Red emblem\nthat Gartlant\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_AKAZUNOKOBAKO,"Small, Unopened Box",
RUBY_ID_ITEM_DAIJINAMONO_AKAZUNOKOBAKO,"Unopened Small Box",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAZUNOKOBAKO,"A securely sealed,\nsuper heavy box.",
NAME_ID_ITEM_DAIJINAMONO_AKAZUNOMANOKAGI,"Unseen Room Key",
RUBY_ID_ITEM_DAIJINAMONO_AKAZUNOMANOKAGI,"Unseen Room Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKAZUNOMANOKAGI,"Key to Unseen\nRoom in the\nRuby Mansion.",
NAME_ID_ITEM_DAIJINAMONO_AKURYOUNOTEGAMI,"Evil Letter",
RUBY_ID_ITEM_DAIJINAMONO_AKURYOUNOTEGAMI,"Evil Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKURYOUNOTEGAMI,"Jet-black\nletter left by\nevil spirits.",
NAME_ID_ITEM_DAIJINAMONO_AKUTANOKAGI,"Actor's Key",
RUBY_ID_ITEM_DAIJINAMONO_AKUTANOKAGI,"Actor's Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_AKUTANOKAGI,"Opens the chest\ncontaining the\nActor's Creed.",
NAME_ID_ITEM_DAIJINAMONO_ANEKARANOTEGAMI,"Sister's Letter",
RUBY_ID_ITEM_DAIJINAMONO_ANEKARANOTEGAMI,"Sister's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_ANEKARANOTEGAMI,"Irreplaceable\nletter from a\nlost sister.",
NAME_ID_ITEM_DAIJINAMONO_ANIKARANOTEGAMI,"Brother's Letter",
RUBY_ID_ITEM_DAIJINAMONO_ANIKARANOTEGAMI,"Brother's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_ANIKARANOTEGAMI,"Irreplaceable\nletter from a\nlost brother.",
NAME_ID_ITEM_DAIJINAMONO_ANKOKUTAIJYUNOHA,"Dark Tree Leaf",
RUBY_ID_ITEM_DAIJINAMONO_ANKOKUTAIJYUNOHA,"Dark Tree Leaf",
EXPLANATION_ID_ITEM_DAIJINAMONO_ANKOKUTAIJYUNOHA,"Ominous leaf\ngrowing on the\nGreat Dark Tree.",
NAME_ID_ITEM_DAIJINAMONO_ANRUSIANOSYASIN,"Anlucia's Photo",
RUBY_ID_ITEM_DAIJINAMONO_ANRUSIANOSYASIN,"Anlucia's Photo",
EXPLANATION_ID_ITEM_DAIJINAMONO_ANRUSIANOSYASIN,"A photo of Anlucia\nwith a message for\nRaska on the back.",
NAME_ID_ITEM_DAIJINAMONO_AOIGEKKOUNOHANA,"Blue Moonlit Flower",
RUBY_ID_ITEM_DAIJINAMONO_AOIGEKKOUNOHANA,"Blue Moonlit Flower",
EXPLANATION_ID_ITEM_DAIJINAMONO_AOIGEKKOUNOHANA,"Flower with a\nperplexing\nFragrance.",
