Key,SourceString
CATEGORY_SOUBIHIN,"Equipment"
NAME_ID_ITEM_EQUIP_HELM_KAWANOBOUSHI,"Leather Hat"
NAME_ID_ITEM_EQUIP_HELM_ASANOBOUSHI,"Linen Hat"
NAME_ID_ITEM_EQUIP_HELM_DOWAHUSAGYOUBOUSHI,"Dwarf Work Hat"
NAME_ID_ITEM_EQUIP_HELM_PUKURIPOZUKIN,"Pukulipo hood"
NAME_ID_ITEM_EQUIP_HELM_UROKONOKABUTO,"Scale Helm"
NAME_ID_ITEM_EQUIP_HELM_IYASHINOBOUSHI,"Healing Hat"
NAME_ID_ITEM_EQUIP_HELM_SEIDOUNOKABUTO,"Bronze Helm"
NAME_ID_ITEM_EQUIP_HELM_SHASHUNOBOUSHI,"Archer Hat"
NAME_ID_ITEM_EQUIP_HELM_NUSUTTOZUKIN,"Robber's Hood"
NAME_ID_ITEM_EQUIP_HELM_KINUNOBOUSHI,"Silk Hat"
NAME_ID_ITEM_EQUIP_HELM_SHUURENYOUBANDO,"Training Hairband"
NAME_ID_ITEM_EQUIP_HELM_TETSUNOHACHIGANE,"Iron Headband"
NAME_ID_ITEM_EQUIP_HELM_SAFURANHATTO,"Saffron Hat"
NAME_ID_ITEM_EQUIP_HELM_KUSUSHINOBOUSHI,"Apothecary Hat"
NAME_ID_ITEM_EQUIP_HELM_SHOKYUUMAHOUSENSHIBERE,"Novice ARM Beret"
NAME_ID_ITEM_EQUIP_HELM_KUSARINOHACHIGANE,"Chain Headgear"
NAME_ID_ITEM_EQUIP_HELM_TETSUKABUTO,"Iron Helmet"
NAME_ID_ITEM_EQUIP_HELM_GINNOHACHIGANE,"Silver Headband"
NAME_ID_ITEM_EQUIP_HELM_SHINPEISHIKYUUKABUTO,"Recruit Helmet"
NAME_ID_ITEM_EQUIP_HELM_MIKAWASHINOBOUSI,"Evasion Cap"
NAME_ID_ITEM_EQUIP_HELM_HAYATENOBANDANA,"Agility Bandana"
NAME_ID_ITEM_EQUIP_HELM_GAKUSYANOBOUSHI,"Academic Hat"
NAME_ID_ITEM_EQUIP_HELM_HAGANENOKABUTO,"Steel Helmet"
NAME_ID_ITEM_EQUIP_HELM_MATADORUBANDO,"Matador Headband"
NAME_ID_ITEM_EQUIP_HELM_MAMORINOBOUSHI,"Safety Cap"
NAME_ID_ITEM_EQUIP_HELM_MAJINAISHITABAN,"Fizzle-Proof Turban"
