Key,SourceString
AQ_DWF1_4,"Magical Beast Byblos"
AQ_DWF1_5,"Leon Byblo"
AQ_DWF2_4_BATTLENAME,"Head Squarkers Gang"
AQ_DWF2_4,"Head Squarker"
AQ_DWF2_5,"Scaravader"
AQ_DWF3_4,"Kukulkannibal"
AQ_ELF1_5,"Hexen Beast"
AQ_ELF2_1,"Monster Bird Kuwatto"
AQ_ELF2_5,"Angry Pusgon"
AQ_ELF3_1_BATTLENAME,"Viper Spittles"
AQ_ELF3_1,"Viper Spittles"
AQ_ELF3_4_BATTLENAME,"Salamanglers"
AQ_ELF3_4,"Salamangler"
AQ_ELF3_5,"Jaomanda"
AQ_OGR1_5,"Revenge Ogre Gagai"
AQ_OGR2_4,"Gilgish"
AQ_OGR2_5,"Spirit Swordsman Ouren"
AQ_OGR3_3,"Demonic Spindle"
AQ_OGR3_4_BATTLENAME,"Demonic Guards"
AQ_OGR3_4,"Demonic Guards"
AQ_OGR3_5,"Demonic Zexen"
AQ_PUK2_5,"Cursed Shade"
AQ_PUK3_1_BATTLENAME,"Low Ghost Soldiers"
AQ_PUK3_1,"Low Ghost Soldiers"
AQ_PUK3_2_BATTLENAME,"High Ghost Soldiers"
AQ_PUK3_2,"High Ghost Soldiers"
AQ_PUK3_5,"Ghost King Palkaras"
AQ_WED1_1_BATTLENAME,"Ancient Lickspittles"
AQ_WED1_1,"Ancient Lickspittles"
AQ_WED1_3,"Marrow Escapee"
AQ_WED1_5,"Naluviathan"
AQ_WED2_4,"Sardon's Minion"
AQ_WED2_5,"Hippo Sardon"
AQ_WED3_2,"Seal Guardians"
AQ_WED3_5,"Witness Ladisau"
COIN_AKURYOU,"Evil Trinity"
COIN_ANKOKUNOMAJIN,"Ruin"
COIN_ATLUS,"Atlas"
COIN_BARAMOS,"Baramos"
COIN_BARAMOSUZONBI,"Bones of Baramos"
COIN_BARIKUNAJYA,"Togrus Maximus"
COIN_BATORUS,"Maracaraider"
COIN_BATORUSGUNDAN_BATTLENAME,"Maracaraider Army"
COIN_BATORUSGUNDAN,"Maracaraiders×２＆Hanuman"
COIN_BATORUSPEA,"Maracaraider＆Hanuman"
COIN_BATTLES_TACHI,"Maracaraiders"
COIN_BAZUZU,"Pazuzu"
COIN_BERIAL,"Belial"
COIN_BORNS,"The Bones"
COIN_CATS,"The Cats"
COIN_DEMONKINGU,"Demon Overlord"
COIN_DONMOGURA,"Don Mole"
COIN_DORAGONU,"Drakulord"
COIN_DRAGONGAIA,"Gaia Dragon"
COIN_GENKAINOYONSHOKO,"4 Dread Fiends"
COIN_GIGUHANMA,"Giga Clubber"
COIN_GORUDOMAN,"Gold Golem Max"
COIN_GORUSURA_TACHI,"Golthra"
COIN_GORUSURA,"Golthra"
COIN_GOSUNERU,"Fang King Gosnell"
COIN_GURAKOS,"Gracos"
COIN_HANUMAN_TACHI,"Hanuman"
COIN_HANUMAN,"Nemean"
COIN_HANUMANGUNDAN_BATTLENAME,"Nemean Army"
COIN_HANUMANGUNDAN,"Hanuman＆Baliknaja＆Marquis de Leon"
COIN_HANUMANPEA,"Hanuman＆Baliknaja"
COIN_JIGOKUNONUE,"Hell Nue"
COIN_JYAMIRASU,"Jamirus"
COIN_KILLERMACHINE,"Killing Machine"
COIN_KILLERMAJINGA,"Überkilling Machine"
COIN_KINGHIDORA,"King Hydra"
COIN_KINGUREO_TACHI,"King Leo"
COIN_KINGUREOGUNDAN_BATTLENAME,"Marquis de Leon Army"
COIN_KINGUREOGUNDAN,"King Leo＆Jamirus＆Bacchus Troll"
COIN_KINGUREOPEA,"King Leo＆Jamirus"
COIN_KOKURYU_TACHI,"Equinox's Gang"
COIN_KOKURYU,"Equinox"
COIN_KOKURYUPEA,"Black Dragon Maru＆Maracaraider"
COIN_METAKIN_TACHI,"Metal King"
COIN_METAKIN,"Metal King"
COIN_RENGOKU,"Tantamount"
COIN_SANAKUMA,"3 Legend Evils"
COIN_SGENERAL,"Shogum"
COIN_TBAKKOSUW,"Bacchus Troll Pair"
COIN_TORORUB_TACHI,"Bacchus Trolls"
COIN_TORORUB,"Bacchus Troll"
COIN_ZARUTORA,"Ring King Zaltra"
JQ_ASB5,"Deathwork, the Laborious"
JQ_BMS1_1,"Foo Dog"
JQ_BMS1_2,"Powie Yowie"
JQ_BMS1_3,"Knight Errant"
JQ_BMS3,"Hellion"
JQ_BMS4_1,"Valucas"
JQ_BMS4_2,"Brigette"
JQ_BMS4_3,"Fighter Sainz"
JQ_BMS4_4,"Tortoceratops"
JQ_BMS5_1,"Fighter Sainz"
