Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The <%sB_TARGET>'s attack power has been reduced!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense has been reduced!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has been lowered!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s charm is gone!"
ODDMESSAGE_NO_SLIDE_BREATH,"The <%sB_TARGET>'s breath resistance has been lowered!"
ODDMESSAGE_NO_SLIDE_MAGIC,"The <%sB_TARGET>'s spell resistance has been lowered!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"The power of <%sB_TARGET>'s spells has been lowered!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing reduced!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s defense is gone!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"The attack power of <%sB_TARGET> has been reduced!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"The <%sB_TARGET>'s attack power has been reduced!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
