Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s Attack Down effect again!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s power down effect again!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>'s speed reduction effect again!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s miryoku down effect again!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance down effect again!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance down effect again!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power down effect again!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET> have the effect of reducing spell healing again!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s ability to drop power again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET> have negative attack power again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power down effect again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
