Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power is gone!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense is gone!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>'s agility has fallen!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s charm is gone!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has decreased!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has decreased!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power has decreased!"
ODDMESSAGE_NO_SLIDE_HEAL,"The healing power of <%sB_TARGET>'s spells has decreased!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s defense is gone!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power is gone!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power is gone!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
