Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_SYUBI,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_BREATH,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_MAGIC,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_HEAL,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"The <%sB_TARGET> didn't listen!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"The <%sB_TARGET> didn't hear!"
