Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_BREATH,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MAGIC,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_HEAL,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"It didn't work on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"It didn't work on <%sB_TARGET>!"
