Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The attack power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s power has increased!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s miryoku is up!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has increased!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance increased!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"The power of <%sB_TARGET>'s spells has increased!"
ODDMESSAGE_NO_SLIDE_HEAL,"The healing power of <%sB_TARGET>'s spells has increased!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s power has increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power has increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"The attack power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"The effects of <%sB_TARGET>'s Vision and Piora are activated!"
