Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power up effect has been renewed!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense boost effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>'s speed boost again!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s effect of charm increase again!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance increase effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance up effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power up effect has been renewed!"
ODDMESSAGE_NO_SLIDE_HEAL,"The <%sB_TARGET> have increased spell healing again!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s defense boost effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack plus effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power up effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET>'s effects of Oomph and Accelerate are activated again!"
