Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_BREATH,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MAGIC,"The <%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_HEAL,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"No effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"No effect on <%sB_TARGET>!"
