Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power has returned to normal!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense has returned to normal!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>'s speed is back!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s charm is back!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has returned to normal!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has returned to normal!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"The power of <%sB_TARGET>'s spells has returned to normal!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing has returned to normal!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s defense has returned to normal!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power has returned to normal!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power has returned to normal!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"The effects of <%sB_TARGET>'s Oomph and Accelerate are activated!"
