Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power has decreased a bit!"
ODDMESSAGE_NO_SLIDE_syubi,"The defense of <%sB_TARGET> has decreased a little!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has decreased a bit!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>'s charm dropped a little!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has decreased a bit!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has decreased a bit!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power has decreased a bit!"
ODDMESSAGE_NO_SLIDE_HEAL,"The healing power of <%sB_TARGET> spells has decreased a bit!"
ODDMESSAGE_NO_SLIDE_syubi2,"The defense of <%sB_TARGET> has decreased a little!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power has decreased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power has decreased a bit!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
