Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power has dropped significantly!"
ODDMESSAGE_NO_SLIDE_SYUBI,"The power of <%sB_TARGET> has decreased considerably!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has decreased considerably!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET> has lost a lot of money!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has decreased significantly!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has been greatly reduced!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power has decreased significantly!"
ODDMESSAGE_NO_SLIDE_HEAL,"The healing power of <%sB_TARGET> spells has decreased significantly!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"The power of <%sB_TARGET> has decreased considerably!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"The attack power of <%sB_TARGET> has greatly decreased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power has dropped significantly!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
