Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET> has the attack power down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET> has the defense down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET> has the speed down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET> has the effect of charm down again!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET> has breath resistance down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET> has the spell resistance down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET> has the effect of reducing the power of spells again!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET> has the effect of reducing spell healing again!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET> has the defense-down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET> has negative attack power again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET> has the attack power down effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
