Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The attack power of <%sB_TARGET> has increased slightly!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense has increased slightly!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has increased slightly!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"The charm of <%sB_TARGET> went up a little!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has increased slightly!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has been slightly increased!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spells are slightly more powerful!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing has been slightly increased!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"The defense of <%sB_TARGET> has increased slightly!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power has increased slightly!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power has increased slightly!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET>'s Oomph and Accelerate's effects activated!"
