Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_BREATH,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MAGIC,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_HEAL,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"Had no effect on <%sB_TARGET>!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"Had no effect on <%sB_TARGET>!"
