Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET> had no effect!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET> had no effect!"
