Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>'s attack power is back!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>'s defense has been restored!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> is back!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET> has returned to normal!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has been restored!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance is back!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power is restored!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing has been restored!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>'s defense has been restored!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power is back!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power is back!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET>'s Oomph and Accelerate's effects activated!"
