Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The attack power of <%sB_TARGET> has decreased!"
ODDMESSAGE_NO_SLIDE_SYUBI,"The defense of <%sB_TARGET> has decreased!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has dropped!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"The charm of <%sB_TARGET> has been dropped!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has decreased!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance has decreased!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power has decreased!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing is gone!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"The defense of <%sB_TARGET> has decreased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>'s attack power is gone!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power has decreased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
