Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET> has the effect of increasing attack power again!"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET> has the effect of boosted defense again!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET> has the speed boost effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET> has the effect of charm again!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET> has breath resistance up effect has been renewed!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET> has increased spell resistance again!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET> has the effect of increasing spell power again!"
ODDMESSAGE_NO_SLIDE_HEAL,"In <%sB_TARGET> the effect of increasing spell healing again!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET> has the defense boost effect has been renewed!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET> has the effect of attack power plus again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET> has the effect of increasing attack power again!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"On <%sB_TARGET>, Oomph and Accelerate's effects are activated again!"
