Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"The attack power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_SYUBI,"The power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"The speed of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"Miryoku of <%sB_TARGET> has been raised!"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>'s breath resistance has increased!"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>'s spell resistance increased!"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>'s spell power increased!"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>'s spell healing increased!"
ODDMESSAGE_NO_SLIDE_SYUBI2,"The power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"The attack power of <%sB_TARGET> has increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>'s attack power increased!"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET>'s Baision and Piora's effects activated!"
