Key,SourceString
EVENTTEXT_CONVERT_FQ1081_NUIGURUMI_A,"Naasha"
EVENTTEXT_CONVERT_FQ1081_NUIGURUMI_B,"Copy"
EVENTTEXT_CONVERT_FQ1081_NUIGURUMI_C,"Nyahotama"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_01,"Vital"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_02,"Sans"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_03,"Baraba"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_04,"Yatsuha"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_05,"Mamapona"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_06,"Soune"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_07,"Bibide"
EVENTTEXT_CONVERT_KQ0284_BIYOUSI_08,"Cocona"
EVENTTEXT_CONVERT_KQ0284_COLOR_01,"Aurora"
EVENTTEXT_CONVERT_KQ0284_COLOR_02,"Viridian"
EVENTTEXT_CONVERT_KQ0284_COLOR_03,"Sky Blue"
EVENTTEXT_CONVERT_KQ0284_COLOR_04,"Orange"
EVENTTEXT_CONVERT_KQ0284_COLOR_05,"Blood"
EVENTTEXT_CONVERT_KQ0284_COLOR_06,"Lettuce"
EVENTTEXT_CONVERT_KQ0284_COLOR_07,"Beige"
EVENTTEXT_CONVERT_KQ0284_COLOR_08,"Cream"
EVENTTEXT_CONVERT_KYODAI_REL2_01,"Lil Bro"
EVENTTEXT_CONVERT_KYODAI_REL2_02,"Big Bro"
EVENTTEXT_CONVERT_KYODAI_REL2_03,"Big Sis"
EVENTTEXT_CONVERT_KYODAI_REL2_04,"Lil Sis"
EVENTTEXT_CONVERT_KYODAI_REL3_01,"Lil Bro"
EVENTTEXT_CONVERT_KYODAI_REL3_02,"Big Bro"
EVENTTEXT_CONVERT_KYODAI_REL3_03,"Big Sis"
EVENTTEXT_CONVERT_KYODAI_REL3_04,"Lil Sis"
EVENTTEXT_CONVERT_RACE_DWF,"Dwarf"
EVENTTEXT_CONVERT_RACE_ELF,"Elf"
EVENTTEXT_CONVERT_RACE_HUM,"Human"
EVENTTEXT_CONVERT_RACE_OGR,"Ogre"
EVENTTEXT_CONVERT_RACE_PUK,"Pukuripo"
EVENTTEXT_CONVERT_RACE_WED,"Weddie"
EVENTTEXT_CONVERT_TIMEI_ITUWARI,"False"
EVENTTEXT_CONVERT_TIMEI_NISE,"Fake"
