Key,SourceString
BattleUI_Attack,"Attack"
BattleUI_Back,"Back"
BattleUI_BattleSpeed_Explanation,"Change battle\nspeed."
BattleUI_BattleSpeed_Fast,"Fast"
BattleUI_BattleSpeed_Normal,"Normal"
BattleUI_BattleSpeed_VeryFast,"Very Fast"
BattleUI_BattleSpeed,"Battle Speed"
BattleUI_ChangeBattleMember,"Change Line-Up"
BattleUI_ConditionNormal,"(Normal)"
BattleUI_ConditionViewer,"Status (Battlers)"
BattleUI_ConditionViewer2,"Status (Standby)"
BattleUI_Config,"Configuration"
BattleUI_ConsumptionGold,"Gold Cost"
BattleUI_ConsumptionMP,"MP Cost"
BattleUI_ConsumptionTension,"Tension Cost"
BattleUI_DeathBlow,"Coup de Grace"
BattleUI_Decide,"Decide"
BattleUI_Defense,"Defend"
BattleUI_EquipCancel,"Cancel"
BattleUI_EquipEquip,"Equip"
BattleUI_EquipRemove,"Remove"
BattleUI_Escape,"Escape"
BattleUI_Fight,"Fight"
BattleUI_GiveUp_Confirm_AutoDung,"Give up the battle?\nIf you give up, the battle is considered lost.\n(You won't lose any Gold.)"
BattleUI_GiveUp_Confirm,"Give up the battle?\nIf you give up, the battle is considered lost."
BattleUI_GiveUp_No,"No"
BattleUI_GiveUp_Yes,"Yes"
BattleUI_GiveUp,"Give Up"
BattleUI_Monsters,"{0}"
BattleUI_Number,"{0}"
BattleUI_NumItems,"Number of Items"
BattleUI_Omakase,"Auto"
BattleUI_Percent,"％"
BattleUI_Phantasm,"Phantasm"
BattleUI_Plan_Auto,"Auto"
BattleUI_Plan_Normal,"Tactics"
BattleUI_SpecialSkill,"Abilities"
BattleUI_Status,"Status"
BattleUI_Strategy,"Tactics"
BattleUI_Swap,"Swap"
