Key,SourceString
SYSTXT_LOCATION_STAGE_Dwf_d1000,"Town of Agrani"
SYSTXT_LOCATION_STAGE_Dwf_d1004,"Inside Well"
SYSTXT_LOCATION_STAGE_Dwf_d1200,"Raniakka Fault Zone"
SYSTXT_LOCATION_STAGE_Dwf_d1210,"Zagban Hills"
SYSTXT_LOCATION_STAGE_Dwf_d1211,"Cave of Zaag"
SYSTXT_LOCATION_STAGE_Dwf_d1212,"Zagbina Remains"
SYSTXT_LOCATION_STAGE_Dwf_d1600,"Acronia Mine"
SYSTXT_LOCATION_STAGE_Dwf_d1601,"Cave of Counsel"
SYSTXT_LOCATION_STAGE_Dwf_d1602,"Delcroix's Laboratory"
SYSTXT_LOCATION_STAGE_Dwf_d1610,"Lani Caves"
SYSTXT_LOCATION_STAGE_Dwf_d1611,"Beast's Den"
SYSTXT_LOCATION_STAGE_Dwf_d2000,"Mount Gatara"
SYSTXT_LOCATION_STAGE_Dwf_d2001,"Gatara Station"
SYSTXT_LOCATION_STAGE_Dwf_d2002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Dwf_d2004,"Inside Well"
SYSTXT_LOCATION_STAGE_Dwf_d2200,"Mogarim Highway"
SYSTXT_LOCATION_STAGE_Dwf_d2201,"Mogare Monastery"
SYSTXT_LOCATION_STAGE_Dwf_d2210,"Gatara Fields"
SYSTXT_LOCATION_STAGE_Dwf_d2220,"Chaldea Mountain Road"
SYSTXT_LOCATION_STAGE_Dwf_d2230,"Samary Plateau"
SYSTXT_LOCATION_STAGE_Dwf_d2240,"Ezesol Canyon"
SYSTXT_LOCATION_STAGE_Dwf_d2250,"Daraz Quarry"
SYSTXT_LOCATION_STAGE_Dwf_d2251,"Sand Dam Observatory"
SYSTXT_LOCATION_STAGE_Dwf_d2252,"Quicksand Ruins - Between Rubble"
SYSTXT_LOCATION_STAGE_Dwf_d2600,"Urbea Underground Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d2601,"Lost City Underground"
SYSTXT_LOCATION_STAGE_Dwf_d2602,"Lost City Square"
SYSTXT_LOCATION_STAGE_Dwf_d2603,"Lost City Tombs"
SYSTXT_LOCATION_STAGE_Dwf_d2604,"Lost City Underground"
SYSTXT_LOCATION_STAGE_Dwf_d2610,"Chaldea Cave"
SYSTXT_LOCATION_STAGE_Dwf_d2620,"Mogare Cave"
SYSTXT_LOCATION_STAGE_Dwf_d2621,"Mogare Hall"
SYSTXT_LOCATION_STAGE_Dwf_d2630,"Gulug Underpass"
SYSTXT_LOCATION_STAGE_Dwf_d2631,"Demon's Dwelling"
SYSTXT_LOCATION_STAGE_Dwf_d2640,"Daleria Sandstone Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d2641,"Crumbling Chamber"
SYSTXT_LOCATION_STAGE_Dwf_d2650,"Chaldea Mountain Road Cave"
SYSTXT_LOCATION_STAGE_Dwf_d2651,"Chaldea Mountain Road Hideout"
SYSTXT_LOCATION_STAGE_Dwf_d3000,"Dolworm Kingdom"
SYSTXT_LOCATION_STAGE_Dwf_d3002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Dwf_d3004,"Inside Well"
SYSTXT_LOCATION_STAGE_Dwf_d3005,"Inside Well"
SYSTXT_LOCATION_STAGE_Dwf_d3010,"Dolworm Crystal Palace"
SYSTXT_LOCATION_STAGE_Dwf_d3011,"Dolworm Crystal Palace Upper"
SYSTXT_LOCATION_STAGE_Dwf_d3012,"Dolworm Kingdom Station"
SYSTXT_LOCATION_STAGE_Dwf_d3200,"Goble Desert East"
SYSTXT_LOCATION_STAGE_Dwf_d3201,"Quicksand Lair"
SYSTXT_LOCATION_STAGE_Dwf_d3202,"Sand Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3210,"Goble Desert West"
SYSTXT_LOCATION_STAGE_Dwf_d3211,"Champion's Seat"
SYSTXT_LOCATION_STAGE_Dwf_d3220,"Boronus Lava Flow"
SYSTXT_LOCATION_STAGE_Dwf_d3221,"Sludge Swamp"
SYSTXT_LOCATION_STAGE_Dwf_d3230,"Dematode Highlands"
SYSTXT_LOCATION_STAGE_Dwf_d3231,"Soul's Location"
SYSTXT_LOCATION_STAGE_Dwf_d3600,"Calsadora Volcano"
SYSTXT_LOCATION_STAGE_Dwf_d3601,"Calsadora Lava Tube"
SYSTXT_LOCATION_STAGE_Dwf_d3602,"Calsadora Hollow"
SYSTXT_LOCATION_STAGE_Dwf_d3603,"Wind Hole of Calsadora"
SYSTXT_LOCATION_STAGE_Dwf_d3604,"????"
SYSTXT_LOCATION_STAGE_Dwf_d3610,"Boronus Hole"
SYSTXT_LOCATION_STAGE_Dwf_d3611,"Undersea Prison"
SYSTXT_LOCATION_STAGE_Dwf_d3612,"Undersea Prison"
SYSTXT_LOCATION_STAGE_Dwf_d3620,"Sandstone Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3621,"Sand Pool Room"
SYSTXT_LOCATION_STAGE_Dwf_d3630,"Deep Underground Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d3631,"Forgotten King's Room"
