Key,SourceString
SYSTXT_BOUKENNOSHO_00010,"Venture Forth"
SYSTXT_BOUKENNOSHO_00020,"Create Adventure Log"
SYSTXT_BOUKENNOSHO_00030,"Erase Adventure Log"
SYSTXT_BOUKENNOSHO_00040,"Receive A Present"
SYSTXT_BOUKENNOSHO_01010,"Adventure Log does not exist."
SYSTXT_BOUKENNOSHO_01020,"Cannot create any more Adventure Logs.\nPlease erase an existing Adventure Log to\nmake room for a new one."
SYSTXT_BOUKENNOSHO_01030,"Adventure Log does not exist."
SYSTXT_BOUKENNOSHO_10010,"Adventure Log"
SYSTXT_BOUKENNOSHO_10080,"Playtime"
SYSTXT_BOUKENNOSHO_10100,"Last Saved"
SYSTXT_BOUKENNOSHO_11010,"Continue From Autosave"
SYSTXT_BOUKENNOSHO_12010,"Choose an Adventure Log."
SYSTXT_BOUKENNOSHO_21010,"Create an Adventure Log in which slot?"
SYSTXT_BOUKENNOSHO_31010,"Please choose an Adventure Log to erase."
SYSTXT_BOUKENNOSHO_10030,"{SlotNum}"
SYSTXT_BOUKENNOSHO_10040,"{PlayerName}"
SYSTXT_BOUKENNOSHO_10050,"{JobName}"
SYSTXT_BOUKENNOSHO_10060,"Lv {Num}"
SYSTXT_BOUKENNOSHO_10070,"{SavePoint}"
SYSTXT_BOUKENNOSHO_10090,"{Hour} : {Minutes}"
SYSTXT_BOUKENNOSHO_10110,"{Year}/{Month}/{Day} {Hour} : {Minutes}"
SYSTXT_BOUKENNOSHO_22010,"Are these playtime settings ok?"
SYSTXT_BOUKENNOSHO_22020,"Use"
SYSTXT_BOUKENNOSHO_22030,"Don't Use"
SYSTXT_BOUKENNOSHO_32020,"Yes"
SYSTXT_BOUKENNOSHO_32030,"No"
SYSTXT_BOUKENNOSHO_33010,"This Adventure Log cannot be restored afterwards.\nAre you sure?"
SYSTXT_BOUKENNOSHO_34010,"Adventure Log {Number} Record erasing."
SYSTXT_BOUKENNOSHO_34020,"Adventure Log {Number} Record erased."
SYSTXT_BOUKENNOSHO_32010,"{SlotNum}：{Name}　Lv {Level}\n{SavePoint}\n{Hour} : {Minutes}\nAre you sure you want to erase?"
SYSTXT_BOUKENNOSHO_10020,"{0}/{1}"
SYSTXT_BOUKENNOSHO_41010,"Please choose a present to receive."
SYSTXT_BOUKENNOSHO_41020,"Requirements not met to\nreceive this present."
SYSTXT_BOUKENNOSHO_44010,"This Adventure Log cannot\nreceive this present."
SYSTXT_BOUKENNOSHO_44020,"This Adventure Log received\nthis present on {Year}/{Month}/{Day}."
SYSTXT_BOUKENNOSHO_44030,"This Adventure Log received\nthis present on {Year}/{Month}/{Day}.\nIt cannot be redeemed again."
SYSTXT_BOUKENNOSHO_44040,"This Adventure Log cannot receive this present.\nFor you cannot hold any more items.\nReorganize your items in-game, and try again."
SYSTXT_BOUKENNOSHO_45010,"{Slot}：{Name}　{Lv}\n{Place}　{Hour} : {Minutes}\nReceive this present here?"
SYSTXT_BOUKENNOSHO_46010,"Received a present!"
