Key,SourceString
SystemWeaponType000,"Bare"
SystemWeaponType001,"Sword"
SystemWeaponType002,"Dagger"
SystemWeaponType003,"Hammer"
SystemWeaponType004,"Claws"
SystemWeaponType005,"Wand"
SystemWeaponType006,"Boomerang"
SystemWeaponType007,"Fan"
SystemWeaponType008,"Card"
SystemWeaponType009,"Whip"
SystemWeaponType010,"Rod"
SystemWeaponType011,"Spear"
SystemWeaponType012,"Staff"
SystemWeaponType013,"Greatsword"
SystemWeaponType014,"Axe"
SystemWeaponType015,"Scythe"
SystemWeaponType016,"Bow"
SystemWeaponType017,"Arrow"
SystemWeaponType018,"String Instrument"
SystemWeaponType019,"Wind Instrument"
SystemWeaponType020,"Orb"
SystemWeaponType021,"Shield"
SystemWeaponType022,"Gadget"
SystemWeaponType023,"Monster Weapon"
SystemWeaponType024,"Pickaxe"
SystemWeaponType025,"Grass Scythe"
SystemWeaponType026,"Woodcutters Axe"
SystemWeaponType027,"Smith Hammer"
SystemWeaponType028,"Anvil"
SystemWeaponType029,"Wooden Sword"
SystemWeaponType030,"Sewing Needle"
SystemWeaponType031,"Medicine Pot"
SystemWeaponType032,"Potters Wheel"
SystemWeaponType033,"Frying Pan"
SystemWeaponType034,"Alchemy Lamp"
SystemWeaponType035,"Alchemy Pot"
SystemWeaponType036,"Bug Catcher"
SystemWeaponType037,"Fish"
SystemWeaponType038,"Water"
SystemWeaponType039,"Cooking Table"
SystemWeaponType040,"Woodworking Table"
SystemWeaponType041,"Sewing table"
SystemWeaponType042,"Medicine stick"
SystemWeaponType043,"ガジェット(rootスケール1用)"
SystemWeaponType044,"ガジェット(手スケール1用)"
SystemWeaponType045,"ガジェット(rootアタッチ用)"
SystemWeaponType046,"Dolboard"
SystemWeaponType047,"Fishing Rod"
SystemWeaponType048,"Umbrella"
SystemWeaponType049,"Ridable Sabrecat"
SystemWeaponType050,"Lifesaver"
SystemWeaponType051,"モーモンブランコ"
SystemWeaponType052,"乗り物ほうき"
SystemWeaponType053,"一輪バイク"
SystemWeaponType054,"しぐさ用イス"
SystemWeaponType055,"二刀流時の扇用(踊り子)"
SystemWeaponType056,"二刀流時の短剣用(踊り子)"
SystemWeaponType057,"二刀流時のスティック用(踊り子)"
SystemWeaponType058,"左腕にダッコちゃん"
SystemWeaponType059,"背中にダッコちゃん"
SystemWeaponType060,"お面(顔につけるもの"
SystemWeaponType061,"空飛ぶベッド"
SystemWeaponType062,"餅つき"
SystemWeaponType063,"腰にダッコちゃん"
SystemWeaponType064,"頭にだっこちゃん"
SystemWeaponType065,"首にだっこちゃん"
SystemWeaponType066,"ドルホッパー専用？"
SystemWeaponType067,"しぐさ用(rootスケール1固定)"
SystemWeaponType068,"しぐさ用(rootスケール可変)"
SystemWeaponType069,"背中にくっつける用"
SystemWeaponType070,"アタッチブックコシ　行動指示書"
SystemWeaponType071,"錬金釜・基本"
SystemWeaponType072,"Ridable UFO"
SystemWeaponType073,"n_haraアタッチ"
SystemWeaponType074,"回転なし腰にだっこちゃん"
SystemWeaponType075,"腰にリボン"
