Key,SourceString
EXPLANATION_SYOUGOU_ALCHEMY_COUNT_01,"Title given to those who have created\n10 or more items."
EXPLANATION_SYOUGOU_ALCHEMY_COUNT_02,"Title given to those who have created\n50 or more items."
EXPLANATION_SYOUGOU_ALCHEMY_COUNT_03,"Title given to those who have created\n100 or more items."
EXPLANATION_SYOUGOU_ALCHEMY_COUNT_04,"Title given to those who have created\n300 or more items."
EXPLANATION_SYOUGOU_ALCHEMY_COUNT_05,"Title given to those who have created\n500 or more items."
EXPLANATION_SYOUGOU_BANK_DEPOSIT_01,"Title given to those who have deposited\n10,000 gold or more in the gold bank."
EXPLANATION_SYOUGOU_BANK_DEPOSIT_02,"Title given to those who have deposited\n100,000 gold or more in the gold bank."
EXPLANATION_SYOUGOU_BANK_DEPOSIT_03,"Title given to those who have deposited\n1,000,000 gold or more in the gold bank."
EXPLANATION_SYOUGOU_BANK_DEPOSIT_04,"Title given to those who have deposited\n3,000,000 gold or more in the gold bank."
EXPLANATION_SYOUGOU_BANK_DEPOSIT_05,"Title given to those who have deposited\n5,000,000 gold or more in the Gold Bank."
EXPLANATION_SYOUGOU_BATTLE_WIN_01,"Title given to those who have won\n10 or more battles."
EXPLANATION_SYOUGOU_BATTLE_WIN_02,"Title given to those who have won\n50 or more battles."
EXPLANATION_SYOUGOU_BATTLE_WIN_03,"Title given to those who have won\n100 or more battles."
EXPLANATION_SYOUGOU_BATTLE_WIN_04,"Title given to those who have won\n500 or more battles."
EXPLANATION_SYOUGOU_BATTLE_WIN_05,"Title given to those who have won\n1,000 or more battles."
EXPLANATION_SYOUGOU_BAZAAR_COUNT_01,"Title given to those who have shopped 10 times at the Traveler Bazaar."
EXPLANATION_SYOUGOU_BAZAAR_COUNT_02,"Title given to those who have shopped 50 times at the Traveler Bazaar."
EXPLANATION_SYOUGOU_BAZAAR_COUNT_03,"Title given to those who have shopped 100 times at the Traveler Bazaar."
EXPLANATION_SYOUGOU_BAZAAR_COUNT_04,"Title given to those who have shopped 300 times at the Traveler Bazaar."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_ALL,"Title given to those who have added\n500 or more star marks to\nrecipes in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_ARMOR,"Title given to those who have\n35 or more star marks on\narmor written in the records of the mysterious blacksmith."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_AXE,"Title given to those who have\n20 or more star marks on the\nax recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_BIGSHIELD,"Title given to those who have 10 or more\nstar marks on their\ngreat shield recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_BOOMERANG,"Title given to those who have\n20 or more\nboomerang star marks recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_BOW,"Title given to those who have\n20 or more star marks on their\nbows recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_CLAW,"Title given to those who have\n20 or more\nstar marks written in the Mysterious Blacksmith's Records."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_CLOTHES,"Title given to those who have\n80 or more star marks on their\nclothes written in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_CLUB,"Title given to those who have\n20 or more star marks on\nclubs written in the records of the mysterious blacksmith."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_FAN,"Title given to those who have\n20 or more star marks on the\nfan recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_HAMMER,"Title given to those who have\n15 or more star marks on the\nhammer recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_HAT,"Title given to those who have\n45 or more star marks on their\nhats recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_HELM,"Title given to those whose\nhead has\n15 or more star marks recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_KNIFE,"Title given to those who have\n20 or more star marks on their\ndaggers recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_ONEHANDEDSWORD,"Title given to those who have has\n20 or more star marks on the\none-handed sword recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_ROBE,"Title given to those who have\nfive or more star marks on their\nrobe recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_ROD,"Title given to those who have\n20 or more star marks on their\ntwo-handed cane recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_SHIELD,"Title given to those who have 15 or more\nstar marks on their\nshield written in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_SPEAR,"Title given to those who have\n20 or more\nspear star marks recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_STICK,"Title given to those who have\n20 or more star marks on their\nsticks recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_TWOHANDEDSWORD,"Title given to those who have\n20 or more star marks on their\ntwo-handed sword recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_COMPLETE_WHIP,"Title given to those who have\n15 or more star marks on the\nwhip recorded in the Mysterious Blacksmith's Record."
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_01,"Title given\nto the person whose Mysterious Blacksmith level reaches\n10."
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_02,"Title given\nto those who reach level 20 of Mysterious Blacksmith"
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_03,"Title given\nto those who reach level 30 of Mysterious Blacksmith"
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_04,"Title given\nto those who reach level 40 of Mysterious Blacksmith"
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_05,"Title given\nto those who reach level 50 of Mysterious Blacksmith"
EXPLANATION_SYOUGOU_BLACKSMITH_LEVEL_06,"Title given to those who have reached level  as level 99 in Mysterious Blacksmith."
EXPLANATION_SYOUGOU_BLACKSMITH_REMAKE_01,"Title given to those who have repair\n10 or more items at the Mysterious Blacksmith."
EXPLANATION_SYOUGOU_BLACKSMITH_REMAKE_02,"Title given to those who have repair\n100 or more items using the Mysterious Blacksmith."
EXPLANATION_SYOUGOU_BLACKSMITH_REMAKE_03,"Title given to those who have repair\n300 or more items at the Mysterious Blacksmith."
EXPLANATION_SYOUGOU_CASINO_COIN_01,"Title given to those who have own 10,000 or more casino coins."
EXPLANATION_SYOUGOU_CASINO_COIN_02,"Title given to those who have own 100,000 or more casino coins."
EXPLANATION_SYOUGOU_CASINO_COIN_03,"Title given to those who have own 1,000,000 or more casino coins."
EXPLANATION_SYOUGOU_CASINO_ENJOY,"Title given to a genuine gambler who plays the casino to the fullest.\nLife is all about entertainment."
EXPLANATION_SYOUGOU_CASINO_PLAY_BINGO_01,"Title given to those who have played Bingo more than 10 times"
EXPLANATION_SYOUGOU_CASINO_PLAY_BINGO_02,"Title given to those who have played Bingo more than 100 times"
EXPLANATION_SYOUGOU_CASINO_PLAY_BINGO_03,"Title given to those who have played Bingo more than 300 times"
EXPLANATION_SYOUGOU_CASINO_PLAY_POKER_01,"Title given to those who have played poker 10 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_POKER_02,"Title given to those who have played poker 100 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_POKER_03,"Title given to those who have played\npoker 1000 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_ROULETTE_01,"Title given to those who have played roulette 10 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_ROULETTE_02,"Title given to those who have played roulette\n100 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_ROULETTE_03,"Title given to those who have played roulette\n300 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_SLOT_01,"Title given to those who have played slot machines 10 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_SLOT_02,"Title given to those who have played slot machines 100 or more times."
EXPLANATION_SYOUGOU_CASINO_PLAY_SLOT_03,"Title given to those who have played\nslot machines 1000 or more times."
EXPLANATION_SYOUGOU_CASINO_POKER_DOUBLEUP,"Title given to the\nlucky person who successfully doubles up for the 10th time in poker."
EXPLANATION_SYOUGOU_CASINO_POKER_ROYALFLASH,"Title given to the\nlucky person who completed a\nRoyal Straight Flush in poker."
EXPLANATION_SYOUGOU_CASINO_ROULETTE_TRESURE,"Title given to the lucky person who\nsuccessfully hits a treasure chest at roulette."
EXPLANATION_SYOUGOU_CASINO_SLOT_JACKPOT,"Title given to the\nlucky person who hit the\njackpot on the slot."
EXPLANATION_SYOUGOU_COLOSSEUM_01,"Title given to those who have wins for the first time in Battle Phantasm."
EXPLANATION_SYOUGOU_COLOSSEUM_02,"Title given to those who have defeated\nall teams in Battle Phantasm."
EXPLANATION_SYOUGOU_DRESS_UP_01,"Title given to those who have collected\n50 or more types of equipment."
EXPLANATION_SYOUGOU_DRESS_UP_02,"Title given to those who have collected\n100 or more types of equipment."
EXPLANATION_SYOUGOU_DRESS_UP_03,"Title given to those who have collected\nover 200 types of equipment."
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_001,"Title given to those who have defeated\nAtlas in the Magic Maze."
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_002,"Title given to those who have defeated\nBuzz in the Magic Maze."
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_003,"Title given to those who have defeated\nBelial in the Magic Maze."
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_004,"Title given to those who have defeated\nevil spirits in the Magic Maze"
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_005,"Title given to those who have defeated\nDragon Gaia in the Magic Maze."
EXPLANATION_SYOUGOU_DUNGEON_MAGIC_BOSS_006,"Title given to those who have defeated\nBaramos in the Magic Maze."
