Key,SourceString
SYSTXT_BATTLE_LEVELUP_00010,"You learned a new skill!"
SYSTXT_BATTLE_LEVELUP_00020,"You learned a new spell!"
SYSTXT_BATTLE_LEVELUP_00030,"You learned a new skill & spell!"
SYSTXT_BATTLE_LEVELUP_00040,"Earned skill points"
SYSTXT_BATTLE_LEVELUP_00050,"Total"
SYSTXT_BATTLE_LEVELUP_00060,"{Character_Name} was promoted to level {Character_Level}!"
SYSTXT_BATTLE_LEVELUP_00070,"{Character_Name} learned the {Spell_Name} spell!"
SYSTXT_BATTLE_LEVELUP_00080,"{Character_Name} learned the {Skill_Name} skill!"
SYSTXT_BATTLE_LEVELUP_00090,"{SkillPoint} skill points were received!"
SYSTXT_BATTLE_LEVELUP_00100,"Leveled up:"
SYSTXT_BATTLE_LEVELUP_00110,"-->"
SYSTXT_BATTLE_LEVELUP_00120,""
