Key,SourceString
SYSTXT_CAREER_STORY_ATH1_001,"One day, {PC} woke up to find that \n{Brother_Name} had failed in his alchemy and \n had turned his precious beans into ashes. \nTo the villagers who came to the house, please apologize to \nAbba on behalf of {Zokugara}! I was told. \nIt seems that Abba's house is on the hill beyond the bridge."
SYSTXT_CAREER_STORY_ATH1_002,"When I went to Abba's house to apologize, Abba was locked in \n's room, and the person who answered was \n Abba's grandson, Shinyi. \nInstead of the ashes, Shinyi would like you to bring us \n fluffy rice hulls and dried poppy grass! he asked. \nAba seems to be depressed lately."
SYSTXT_CAREER_STORY_ATH1_003,"At the request of Abba's grandson Shinyi, I decided to look for \nfluffy chaff and dried poppy grass. \nThe fluffy chaff was given to him by Nei.\nThe dried poppy grass was given to him by Nora. \nNow that he has both, \nhe returns to Aba's house and delivers them to Shin-yi's room."
SYSTXT_CAREER_STORY_ATH1_004,"When Shin-yi gave him the \nfluffy rice husks and dried poppy grass that he had obtained at his request, Shin-yi completed the \nsleeping pillow in the blink of an eye. \nAbba thought that if she could get a good night's sleep, \nshe would feel better. \nShe heads to Abba's room to deliver the pillow."
SYSTXT_CAREER_STORY_ATH1_005,"Aba was holed up in her room, shocked to see that the beans had turned to ashes, but \n that's not the point now! She told \n {PC} to \ncall for {Brother_Name}. \nShe seems to have something she would like to talk about when we are both together."
SYSTXT_CAREER_STORY_ATH1_006,"Aba was holed up in her room and was shocked to see that the beans had turned to ashes, but \n that's not the point now! She told \n {PC} to \ncall for {Brother_Name}. \nShe seems to have something she would like to talk about when we are both together."
SYSTXT_CAREER_STORY_ATH1_007,"Go to Ishizue Forest northeast of the village and find \n{Brother_Name} {PC}. \n When {Brother_Name} learned that her Ava was calling, \n she became excited that the time had finally come for her alchemy to be needed. \nReturning to the village of Etene, he will report to Abba that he has \n brought {Brother_Name} with him."
SYSTXT_CAREER_STORY_ATH1_008,"When you returned to Abba's house with {Brother_Name}, \nAbba gathered the villagers together and told them the story of the \ngreat disaster that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_CAREER_STORY_ATH1_009,"When I returned to Abba's house with {Brother_Name}, \nAbba gathered the villagers together and told them the story of the \ngreat disaster that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_CAREER_STORY_ATH1_010,"When I returned to Abba's house with {Brother_Name}, \nAbba gathered the villagers together and told them the story of the \ngreat disaster that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_CAREER_STORY_ATH1_011,"As {PC} and his friends headed to \nthe Cave of Clear Water to collect Tenth Flowers, a monster named \nBedlar, the magic demon, appeared in front of them. \nBedlar has the power to transcend time.\nHe cannot hand over the flower of Tenth to the people of Etene! and attacked me. \n {PC} fought against Bedlar, but \n lost."
SYSTXT_CAREER_STORY_ATH1_012,"Defeated the wizard Bedlar {PC}. \nWith his last power, Bedler burns down all of his Tenth flowers, but thanks to \n {Brother_Name}'s efforts, he was able to find just one \nunburnt flower. . \nReturn to the village of Ethene and deliver his tensu flowers to \nAbba."
SYSTXT_CAREER_STORY_ATH1_013,"Defeated the wizard Bedlar {PC}. \nWith his last power, Bedler burns down all of his Tenth flowers, but thanks to \n {Brother_Name}'s efforts, he was able to find just one \nunburnt flower. . \nAs I was walking through the nameless grassland, \na thunderbolt struck in the direction of the village, and a flame rose. \nLet's return to the village as soon as possible."
SYSTXT_CAREER_STORY_ATH1_014,"When I got the Tenth Flower and returned to the village, \n it had been attacked and destroyed by monsters. \n{PC} falls into the hands of Nergel, the Hades, and \n loses his life. \n{PC}'s soul is guided to a mysterious temple, \nheard by a mysterious voice, and goes before the statue of the god.\nChoose the form you will be reborn in! I was told."
SYSTXT_CAREER_STORY_WED1_002,"{PC} lost his life when \nwas burned by the flames of Nergel, the Hades, but was reborn as a young \nWeddy from the village of Lane, guided by a \nmysterious voice. \n {PC} wants her friend \n Aashik, who is about to get married, to go with her to \n the memorial beach in the northwest of the village to look for shells to give to the bride! I was asked."
SYSTXT_CAREER_STORY_WED1_003,"{PC} lost his life when he was burned by the flames of Nergel, the Hades, but guided by a \nmysterious voice, he was reborn as a \nWeddy young man living in the village of Lane. \n {PC} wants her friend \n Aashik, who is about to get married, to go with her to \n the memorial beach in the northwest of the village to look for shells to give to the bride! I was asked."
SYSTXT_CAREER_STORY_WED1_004,"The cenotaph on the beach was once dedicated to a young man who \n lost his life before getting married. \nHowever, \nAashik takes the beautiful shell of the offering as his own and leaves. \n {PC} was called by the chief of Lane's village, and he returned to \nthe village."
SYSTXT_CAREER_STORY_WED1_005,"{PC} along with his friend Huza took the exam given by the village chief \nSetry in order to become \nShelner of Aashik. \nIt would be better for him to become her Shelner if he drew water from the underground lake in the cave north of the village and \n returned before the sun and moon completed their full rotation. \n {PC} received a \nglass vial from Chief Setley."
