Key,SourceString
SYSTXT_PLACENAME_00001,"Ethene Village"
SYSTXT_PLACENAME_00002,"Hometown"
SYSTXT_PLACENAME_00003,"Azlan"
SYSTXT_PLACENAME_00004,"Kamiharmui"
SYSTXT_PLACENAME_00005,"Hometown"
SYSTXT_PLACENAME_00006,"Julet"
SYSTXT_PLACENAME_00007,"Verinard"
SYSTXT_PLACENAME_00008,"Hometown"
SYSTXT_PLACENAME_00009,"Glen"
SYSTXT_PLACENAME_00010,"Gartlant"
SYSTXT_PLACENAME_00011,"Hometown"
SYSTXT_PLACENAME_00012,"Orphea"
SYSTXT_PLACENAME_00013,"Megistris"
SYSTXT_PLACENAME_00014,"Hometown"
SYSTXT_PLACENAME_00015,"Gatara"
SYSTXT_PLACENAME_00016,"Dolworm"
SYSTXT_PLACENAME_00017,"Hollow's Encounter"
SYSTXT_PLACENAME_00019,"Lendersia"
SYSTXT_PLACENAME_00022,"Melsandy"
SYSTXT_PLACENAME_00023,"Celed"
SYSTXT_PLACENAME_00024,"Al-Ahagiro"
SYSTXT_PLACENAME_00025,"Gran Zedora"
SYSTXT_PLACENAME_00027,"The Land of Overlapping Fates"
SYSTXT_PLACENAME_00028,"The Spinning Bonds of Courage"
SYSTXT_PLACENAME_00029,"The Wings of Soaring Hope"
SYSTXT_PLACENAME_00030,"The Endgame of Eternity"
