Key,SourceString
SYSTXT_LOADING_ARASUJI_ATH1_001,"One day, {PC} woke up to find that \n{Brother_Name} had failed in his alchemy and \n had turned his precious beans to ashes. \nTo the villagers who came to the house, please apologize to \nAbba on behalf of {Zokugara}! I was told. \nIt seems that Abba's house is on the hill beyond the bridge."
SYSTXT_LOADING_ARASUJI_ATH1_002,"When I went to Abba's house to apologize, Abba was locked in \n's room, and the person who answered was \n Abba's grandson, Shinyi. \nInstead of the ashes, Shinyi would like you to bring us \n fluffy rice hulls and dried poppy grass! he asked. \nAba seems to be depressed lately."
SYSTXT_LOADING_ARASUJI_ATH1_003,"At the request of Abba's grandson Shinyi, I decided to look for \nfluffy chaff and dried poppy grass. \nThe fluffy chaff was given to him by Nei.\nThe dried poppy grass was given to him by Nora. \nNow that he has both, \nhe returns to Aba's house and delivers them to Shin-yi's room."
SYSTXT_LOADING_ARASUJI_ATH1_004,"When Shin-yi gave him the \n fluffy rice husks and dried poppy grass that he had obtained at Shin-yi's request, Shin-yi completed the \n sleep pillow in the blink of an eye. \nAbba thought that if she could get a good night's sleep, \nshe would feel better. \nShe heads to Abba's room to deliver the pillow."
SYSTXT_LOADING_ARASUJI_ATH1_005,"Aba was holed up in her room, shocked to see that the beans had turned to ashes, but \n that's not the point now! She told \n {PC} to \ncall for {Brother_Name}. \nShe seems to have something she would like to talk about when we are both together."
SYSTXT_LOADING_ARASUJI_ATH1_006,"Aba was holed up in her room and was shocked to see that the beans had turned to ashes, but \n that's not the point now! She told \n {PC} to \ncall for {Brother_Name}. \nShe seems to have something she would like to talk about when we are both together."
SYSTXT_LOADING_ARASUJI_ATH1_007,"Go to Ishizue Forest northeast of the village and find \n{Brother_Name} {PC}. \n When {Brother_Name} learned that her Ava was calling, \n she became excited that the time had finally come for her alchemy to be needed. \nReturning to the village of Etene, he will report to Abba that he has \n brought {Brother_Name} with him."
SYSTXT_LOADING_ARASUJI_ATH1_008,"When I returned to Abba's house with {Brother_Name}, \nAbba gathered the villagers together and told them about the \nGreat Calamity that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_LOADING_ARASUJI_ATH1_009,"When I returned to Abba's house with {Brother_Name}, Abba gathered the villagers together and told them about the \nGreat Calamity that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_LOADING_ARASUJI_ATH1_010,"When I returned to Abba's house with {Brother_Name}, Abba gathered the villagers together and told them about the \nGreat Calamity that would soon occur. \nIn order to avert the disaster of the dying out of Ethene's people, it seems that she needs her tenth flower, which blooms in a \n cave of pure water, far north of the land where she was raised. She and Shin'i and her {Brother_Name} decided to go to collect \ntens flowers. \n"
SYSTXT_LOADING_ARASUJI_ATH1_011,"As {PC} headed to \nthe Cave of Clear Water to collect Tenth Flowers, a monster named \nThe Magic Demon Bedlar appeared in front of them. \nBedlar has the power to transcend time.\nHe cannot hand over the flower of Tenth to the people of Etene! and attacked me. \n {PC} fought against Bedlar, but \n lost."
SYSTXT_LOADING_ARASUJI_ATH1_012,"Defeated the wizard Bedlar {PC}. \nWith his last power, Bedler burns down all of his Tenth flowers, but thanks to \n {Brother_Name}'s efforts, he was able to find just one \nunburnt flower. . \nHe will return to the village of Etene and deliver the tenth flower to \nAbba."
SYSTXT_LOADING_ARASUJI_ATH1_013,"Defeated the wizard Bedlar {PC}. \nWith his last power, Bedler burns down all of his Tenth flowers, but thanks to \n {Brother_Name}'s efforts, he was able to find just one \nunburnt flower. . \nAs I was walking through the nameless grassland, \na thunderbolt struck in the direction of the village, and a flame rose. \nLet's return to the village as soon as possible."
SYSTXT_LOADING_ARASUJI_ATH1_014,"When I got the Tenth Flower and returned to the village, \nit had been attacked and destroyed by monsters. \n{PC} falls into the hands of Nergel, the Hades, and \n loses his life. \n{PC}'s soul is guided to a mysterious temple, \nheard by a mysterious voice, and goes before the statue of the god.\nChoose the form you will be reborn in! I was told."
SYSTXT_LOADING_ARASUJI_WED1_002,"{PC} lost his life when he was burned by the flames of Nergel, the Hades, but was guided by a \nmysterious voice and was reborn as a young Weddie from the village of Lane. \n {PC} wants her friend \n Aashik, who is about to get married, to go with her to \n the memorial beach in the northwest of the village to look for shells to give to the bride! I was asked."
SYSTXT_LOADING_ARASUJI_WED1_003,"{PC} lost his life when he was burned by the flames of Nergel, the Hades, but he was guided by a \nmysterious voice and was reborn as a \nWeddy young man living in the village of Lane. \n {PC} wants her friend \n Aashik, who is about to get married, to go with her to \n the memorial beach in the northwest of the village to look for shells to give to the bride! I was asked."
SYSTXT_LOADING_ARASUJI_WED1_004,"The memorial monument on the beach was once dedicated to a young man who \n lost his life before getting married. \nHowever, \nAashik takes the beautiful shell of the offering as his own and leaves. \n {PC} was called by the chief of Lane's village, and he returned to \nthe village."
SYSTXT_LOADING_ARASUJI_WED1_005,"{PC} took the exam given by the village chief \nSetry with his friend Hyuza in order to become \nShelner of Aashik. \nIt would be better for him to become her Shelner if he drew water from the underground lake in the cave north of the village and \n returned before the sun and moon completed their full rotation. \n {PC} received a \nglass vial from Chief Setley."
SYSTXT_LOADING_ARASUJI_WED1_006,"{PC} took the exam given by the village chief \nSetry with his friend Hyuza in order to become \nShelner of Aashik. \nIt would be better for him to become her Shelner if he drew water from the underground lake in the cave north of the village and \n returned before the sun and moon completed their full rotation. \n {PC} received a \nglass vial from Chief Setley."
SYSTXT_LOADING_ARASUJI_WED1_007,"{PC} went to the \ncave north of Lane Village and drew water from the underground lake deep into a \nsmall glass bottle. \nHyuza also appeared later, fetched water from the underground lake, and returned to \nthe village. \nHe returns to the village of Lane before Huser does.\nHe must deliver a glass vial to the village chief, \nSetley."
SYSTXT_LOADING_ARASUJI_WED1_008,"{PC} went to the \ncave north of Lane Village and drew water from the underground lake deep into a \nsmall glass bottle. \nHe delivered it to the village chief, Settori, but at that time, he found out that the sun and moon had already gone around her, and the water in the underground lake had become murky. \nHe was told by the village chief Setori to go again.\nHe received a small glass bottle."
SYSTXT_LOADING_ARASUJI_WED1_009,"{PC} went to the \ncave north of Lane Village and drew water from the underground lake deep into a \nsmall glass bottle. \nHowever, it seems that the sun and moon have already completed \none cycle and the water in the underground lake has become \ncloudy. \nHe of the village of Lane must report \nonce to the village chief, Setori."
SYSTXT_LOADING_ARASUJI_WED1_010,"{PC} delivered the water he drew from the underground lake to the village chief of Setli faster than \nHyuza and became \nSherner and received the \nRula Stone as proof. From Aashik, \n leave the village and go north along the stream along the road \n to the inn of prayer in Raynham Green Field. \n I want you to deliver her beautiful shells to the bride Kiel. ! I was asked."
SYSTXT_LOADING_ARASUJI_WED1_011,"{PC} delivered the water he drew from the underground lake to the village chief of Setli faster than \nHyuza and became \nSherner and received the \nLula Stone as proof of that. From Aashik, \n leave the village and go north along the stream along the road \n to the inn of prayer in Raynham Green Field. \n I want you to deliver her beautiful shells to the bride Kiel. ! I was asked."
SYSTXT_LOADING_ARASUJI_WED1_012,"{PC} met \nAashik's bride Kiel at the inn of prayer, and gave him the beautiful shell that \nAashik had entrusted to him. \nThen a black monster appeared there and took away Kiel. \nAccording to Priest Lillie of the Prayer Inn, \nIt seems that the monster headed for the beach of consolation."
SYSTXT_LOADING_ARASUJI_WED1_013,"As {PC} heads to the beach of comfort, a black monster that calls himself \nThe Bridegroom appears. \nThe Black Bridegroom calls her Kir Dahlia, \nsaying that she will be his bride, and \nchallenges her to a fight. \n{PC} fought against the Black Bridegroom, but \n lost."
SYSTXT_LOADING_ARASUJI_WED1_014,"The {PC} headed to the Beach of Remembrance and defeated the \nBlack Bridegroom who tried to make \nKiel his bride. With her last power, \nthe black bridegroom tried to summon a storm, but she was illuminated by a white light, and she returned to the form of a young man named Reg. It went up. In the village of Lane, \npreparations for a wedding have begun."
SYSTXT_LOADING_ARASUJI_WED1_015,"{PC} fulfilled the role of Shelner and received the certificate of full-fledged status from \nSetori Village Chief. \nAnd he hears from Vulture that it is his destiny to follow the \n light of the Awakening of the Heroes that illuminated the Beach of Remembrance. \nTold to collect the Proof of Power key emblem, {PC} departs from the northwest of the island and heads for the neighboring \nJure Island."
SYSTXT_LOADING_ARASUJI_WED1_017,"Hearing that it is his destiny to \n chase the light of the Awakening of the Heroes that illuminated the beach of comfort, {PC} decides to \n collect the key emblems that are \n proofs of power. \nHe sets off from the northwest of the island to the island of Jureh next to her. {PC} is seen off by his girlfriends Aashik and Kiel. \nRubekah, but his girlfriend Huza is one of them.\ntests her own power. He left on a journey."
SYSTXT_LOADING_ARASUJI_WED2_101,"It seems that there is someone in the town of Julette who would like to ask \nsomeone who has the certificate of being a full-fledged adventurer."
SYSTXT_LOADING_ARASUJI_WED2_102,"It seems that there is a person in the town of Julette who would like to ask \nsomeone who has the certificate of being a full-fledged adventurer."
SYSTXT_LOADING_ARASUJI_WED2_103,"It seems that there is someone in the town of Julette who would like to ask \nsomeone who has the certificate of being a full-fledged adventurer."
SYSTXT_LOADING_ARASUJI_WED2_104,"It seems that there is a person in the town of Julette who would like to ask \nsomeone who has the certificate of being a full-fledged adventurer."
SYSTXT_LOADING_ARASUJI_WED2_105,"It seems that there is a person in the town of Julette who would like to ask \nsomeone who has the certificate of being a full-fledged adventurer."
SYSTXT_LOADING_ARASUJI_WED2_002,"{PC} met with Mayor Bolen of \nJulette Town. \nMayor Bolen seemed to want to ask something \n, but he said that he could not \n ask someone who didn't have the credentials of a full-fledged citizen."
SYSTXT_LOADING_ARASUJI_WED2_003,"When \n{PC} arrived at the town of Julette, he was stopped by \nRancy, a resident of the town. According to Rancy, the girl named Soumya has been acting strange lately."
SYSTXT_LOADING_ARASUJI_WED2_004,"When \n{PC} arrived at the town of Julette, he met a girl named \nSoumya who lived alone in a private house. \nSoumya told \n {PC} that the mayor was looking for a strong person, so \nshe should go as long as she has proof of being a full-fledged person. \nThe mayor's house is said to be the house to the left of the church \nto the northeast of town."
SYSTXT_LOADING_ARASUJI_WED2_005,"{PC} was asked by \nMayor Boren of the town of Julette to \nensure that someone could \n safely go to \nthe ruins of wisdom on the neighboring island. I declined."
