Key,SourceString
SYSTXT_CHARAMAKE_COLOR_001,"Sungold"
SYSTXT_CHARAMAKE_COLOR_002,"Lemon"
SYSTXT_CHARAMAKE_COLOR_003,"Custard"
SYSTXT_CHARAMAKE_COLOR_004,"Yellow"
SYSTXT_CHARAMAKE_COLOR_005,"Gold"
SYSTXT_CHARAMAKE_COLOR_006,"Golden"
SYSTXT_CHARAMAKE_COLOR_007,"Amber"
SYSTXT_CHARAMAKE_COLOR_008,"Canary"
SYSTXT_CHARAMAKE_COLOR_009,"Mimosa"
SYSTXT_CHARAMAKE_COLOR_010,"Matcha"
SYSTXT_CHARAMAKE_COLOR_011,"Olive"
SYSTXT_CHARAMAKE_COLOR_012,"Lettuce"
SYSTXT_CHARAMAKE_COLOR_013,"Muscat"
SYSTXT_CHARAMAKE_COLOR_014,"Viridian"
SYSTXT_CHARAMAKE_COLOR_015,"Jungle"
SYSTXT_CHARAMAKE_COLOR_016,"Dark Green"
SYSTXT_CHARAMAKE_COLOR_017,"Pale Cyan"
SYSTXT_CHARAMAKE_COLOR_018,"Light Green"
SYSTXT_CHARAMAKE_COLOR_019,"Mint"
SYSTXT_CHARAMAKE_COLOR_020,"Emerald"
SYSTXT_CHARAMAKE_COLOR_021,"Forest"
SYSTXT_CHARAMAKE_COLOR_022,"Aqua"
SYSTXT_CHARAMAKE_COLOR_023,"Sky Blue"
SYSTXT_CHARAMAKE_COLOR_024,"Sea Green"
SYSTXT_CHARAMAKE_COLOR_025,"Light Blue"
SYSTXT_CHARAMAKE_COLOR_026,"Ice Blue"
SYSTXT_CHARAMAKE_COLOR_027,"Gray-Blue"
SYSTXT_CHARAMAKE_COLOR_028,"Navy"
SYSTXT_CHARAMAKE_COLOR_029,"Dark Blue"
SYSTXT_CHARAMAKE_COLOR_030,"Midnight"
SYSTXT_CHARAMAKE_COLOR_031,"Blue"
SYSTXT_CHARAMAKE_COLOR_032,"Pure Blue"
SYSTXT_CHARAMAKE_COLOR_033,"Mist Gray"
SYSTXT_CHARAMAKE_COLOR_034,"Lavender"
SYSTXT_CHARAMAKE_COLOR_035,"Amethyst"
SYSTXT_CHARAMAKE_COLOR_036,"Violet"
SYSTXT_CHARAMAKE_COLOR_037,"Poison"
SYSTXT_CHARAMAKE_COLOR_038,"Purple"
SYSTXT_CHARAMAKE_COLOR_039,"Magenta"
SYSTXT_CHARAMAKE_COLOR_040,"Wisteris"
SYSTXT_CHARAMAKE_COLOR_041,"Light Pink"
SYSTXT_CHARAMAKE_COLOR_042,"Pink"
SYSTXT_CHARAMAKE_COLOR_043,"Pale Plum"
SYSTXT_CHARAMAKE_COLOR_044,"Red Bean"
SYSTXT_CHARAMAKE_COLOR_045,"Devil Wine"
SYSTXT_CHARAMAKE_COLOR_046,"Aurora"
SYSTXT_CHARAMAKE_COLOR_047,"Pale Pink"
SYSTXT_CHARAMAKE_COLOR_048,"Cherry"
SYSTXT_CHARAMAKE_COLOR_049,"Strawberry"
SYSTXT_CHARAMAKE_COLOR_050,"Rose"
SYSTXT_CHARAMAKE_COLOR_051,"Dark Plum"
SYSTXT_CHARAMAKE_COLOR_052,"Coral"
SYSTXT_CHARAMAKE_COLOR_053,"Vermilion"
SYSTXT_CHARAMAKE_COLOR_054,"Beige"
SYSTXT_CHARAMAKE_COLOR_055,"Red"
SYSTXT_CHARAMAKE_COLOR_056,"Ruby"
SYSTXT_CHARAMAKE_COLOR_057,"Garnet"
SYSTXT_CHARAMAKE_COLOR_058,"Blood"
SYSTXT_CHARAMAKE_COLOR_059,"Sunset"
SYSTXT_CHARAMAKE_COLOR_060,"Orange"
SYSTXT_CHARAMAKE_COLOR_061,"Sour Orange"
SYSTXT_CHARAMAKE_COLOR_062,"Caramel"
SYSTXT_CHARAMAKE_COLOR_063,"Chocolate"
SYSTXT_CHARAMAKE_COLOR_064,"Cream"
SYSTXT_CHARAMAKE_COLOR_065,"Clay"
SYSTXT_CHARAMAKE_COLOR_066,"Latte"
SYSTXT_CHARAMAKE_COLOR_067,"Cork"
SYSTXT_CHARAMAKE_COLOR_068,"Brown"
SYSTXT_CHARAMAKE_COLOR_069,"Pearl"
SYSTXT_CHARAMAKE_COLOR_070,"Pure Snow"
SYSTXT_CHARAMAKE_COLOR_071,"Silver"
SYSTXT_CHARAMAKE_COLOR_072,"White"
SYSTXT_CHARAMAKE_COLOR_073,"White Wisteris"
SYSTXT_CHARAMAKE_COLOR_074,"Vanilla"
SYSTXT_CHARAMAKE_COLOR_075,"Light Gray"
SYSTXT_CHARAMAKE_COLOR_076,"Ash"
SYSTXT_CHARAMAKE_COLOR_077,"Rose Gray"
SYSTXT_CHARAMAKE_COLOR_078,"Dark Gray"
SYSTXT_CHARAMAKE_COLOR_079,"Steel"
SYSTXT_CHARAMAKE_COLOR_080,"Onyx"
SYSTXT_CHARAMAKE_COLOR_081,"Core Black"
SYSTXT_CHARAMAKE_COLOR_082,"Jet Black"
SYSTXT_CHARAMAKE_COLOR_000,"No Color"
