Key,SourceString
SYSTXT_CHARAMAKE_NAME_FEMALE_00010,"X"
SYSTXT_CHARAMAKE_NAME_FEMALE_00020,"Ten"
SYSTXT_CHARAMAKE_NAME_FEMALE_00030,"Iris"
SYSTXT_CHARAMAKE_NAME_FEMALE_00040,"Adele"
SYSTXT_CHARAMAKE_NAME_FEMALE_00050,"Alisha"
SYSTXT_CHARAMAKE_NAME_FEMALE_00060,"Yvonne"
SYSTXT_CHARAMAKE_NAME_FEMALE_00070,"Strawberry"
SYSTXT_CHARAMAKE_NAME_FEMALE_00080,"Vita"
SYSTXT_CHARAMAKE_NAME_FEMALE_00090,"Veronica"
SYSTXT_CHARAMAKE_NAME_FEMALE_00100,"Averil"
SYSTXT_CHARAMAKE_NAME_FEMALE_00110,"Eponine"
SYSTXT_CHARAMAKE_NAME_FEMALE_00120,"Emma"
SYSTXT_CHARAMAKE_NAME_FEMALE_00130,"Emilia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00140,"Erica"
SYSTXT_CHARAMAKE_NAME_FEMALE_00150,"Olivia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00160,"Olga"
SYSTXT_CHARAMAKE_NAME_FEMALE_00170,"Kara"
SYSTXT_CHARAMAKE_NAME_FEMALE_00180,"Cassandra"
SYSTXT_CHARAMAKE_NAME_FEMALE_00190,"Camilla"
SYSTXT_CHARAMAKE_NAME_FEMALE_00200,"Gisela"
SYSTXT_CHARAMAKE_NAME_FEMALE_00210,"Kikka"
SYSTXT_CHARAMAKE_NAME_FEMALE_00220,"Kitty"
SYSTXT_CHARAMAKE_NAME_FEMALE_00230,"Katherine"
SYSTXT_CHARAMAKE_NAME_FEMALE_00240,"Candy"
SYSTXT_CHARAMAKE_NAME_FEMALE_00250,"Curilala"
SYSTXT_CHARAMAKE_NAME_FEMALE_00260,"Gladys"
SYSTXT_CHARAMAKE_NAME_FEMALE_00270,"Clarissa"
SYSTXT_CHARAMAKE_NAME_FEMALE_00280,"Chloe"
SYSTXT_CHARAMAKE_NAME_FEMALE_00290,"Gloria"
SYSTXT_CHARAMAKE_NAME_FEMALE_00300,"Kate"
SYSTXT_CHARAMAKE_NAME_FEMALE_00310,"Gerda"
SYSTXT_CHARAMAKE_NAME_FEMALE_00320,"Coralie"
SYSTXT_CHARAMAKE_NAME_FEMALE_00330,"Sakura"
SYSTXT_CHARAMAKE_NAME_FEMALE_00340,"Samantha"
SYSTXT_CHARAMAKE_NAME_FEMALE_00350,"Sarah"
SYSTXT_CHARAMAKE_NAME_FEMALE_00360,"Jessica"
SYSTXT_CHARAMAKE_NAME_FEMALE_00370,"Gismonda"
SYSTXT_CHARAMAKE_NAME_FEMALE_00380,"Jasmine"
SYSTXT_CHARAMAKE_NAME_FEMALE_00390,"Julia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00400,"Suzie"
SYSTXT_CHARAMAKE_NAME_FEMALE_00410,"Stella"
SYSTXT_CHARAMAKE_NAME_FEMALE_00420,"Severine"
SYSTXT_CHARAMAKE_NAME_FEMALE_00430,"Zenovia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00440,"Zoe"
SYSTXT_CHARAMAKE_NAME_FEMALE_00450,"Solange"
SYSTXT_CHARAMAKE_NAME_FEMALE_00460,"Tabitha"
SYSTXT_CHARAMAKE_NAME_FEMALE_00470,"Daphne"
SYSTXT_CHARAMAKE_NAME_FEMALE_00480,"Thea"
SYSTXT_CHARAMAKE_NAME_FEMALE_00490,"Titia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00500,"Dennis"
SYSTXT_CHARAMAKE_NAME_FEMALE_00510,"Therese"
SYSTXT_CHARAMAKE_NAME_FEMALE_00520,"Donna"
SYSTXT_CHARAMAKE_NAME_FEMALE_00530,"Dorothea"
SYSTXT_CHARAMAKE_NAME_FEMALE_00540,"Natalia"
SYSTXT_CHARAMAKE_NAME_FEMALE_00550,"Nana"
systxt_charamake_name_female_00560,"nico"
SYSTXT_CHARAMAKE_NAME_FEMALE_00570,"Ninon"
SYSTXT_CHARAMAKE_NAME_FEMALE_00580,"Nelly"
SYSTXT_CHARAMAKE_NAME_FEMALE_00590,"Noemi"
