Key,SourceString
SYSTXT_CHARAMAKE_NAME_MALE_00010,"X"
SYSTXT_CHARAMAKE_NAME_MALE_00020,"Ten"
SYSTXT_CHARAMAKE_NAME_MALE_00030,"Arvin"
SYSTXT_CHARAMAKE_NAME_MALE_00040,"Armin"
SYSTXT_CHARAMAKE_NAME_MALE_00050,"Anilas"
SYSTXT_CHARAMAKE_NAME_MALE_00060,"Amadeo"
SYSTXT_CHARAMAKE_NAME_MALE_00070,"Alonso"
SYSTXT_CHARAMAKE_NAME_MALE_00080,"Andy"
SYSTXT_CHARAMAKE_NAME_MALE_00090,"Ilppo"
SYSTXT_CHARAMAKE_NAME_MALE_00100,"Wotkin"
SYSTXT_CHARAMAKE_NAME_MALE_00110,"Utcher"
SYSTXT_CHARAMAKE_NAME_MALE_00120,"Egmont"
SYSTXT_CHARAMAKE_NAME_MALE_00130,"Edvan"
SYSTXT_CHARAMAKE_NAME_MALE_00140,"Enix"
SYSTXT_CHARAMAKE_NAME_MALE_00150,"Elias"
SYSTXT_CHARAMAKE_NAME_MALE_00160,"Ozias"
SYSTXT_CHARAMAKE_NAME_MALE_00170,"Otmar"
SYSTXT_CHARAMAKE_NAME_MALE_00180,"Gaston"
SYSTXT_CHARAMAKE_NAME_MALE_00190,"Gadfly"
SYSTXT_CHARAMAKE_NAME_MALE_00200,"Carl"
SYSTXT_CHARAMAKE_NAME_MALE_00210,"Giorgo"
SYSTXT_CHARAMAKE_NAME_MALE_00220,"Günther"
SYSTXT_CHARAMAKE_NAME_MALE_00230,"Gilbert"
SYSTXT_CHARAMAKE_NAME_MALE_00240,"Gweed"
SYSTXT_CHARAMAKE_NAME_MALE_00250,"Clyde"
SYSTXT_CHARAMAKE_NAME_MALE_00260,"Craft"
SYSTXT_CHARAMAKE_NAME_MALE_00270,"Green"
SYSTXT_CHARAMAKE_NAME_MALE_00280,"Clemens"
SYSTXT_CHARAMAKE_NAME_MALE_00290,"Chloro"
SYSTXT_CHARAMAKE_NAME_MALE_00300,"Ken"
SYSTXT_CHARAMAKE_NAME_MALE_00310,"Goro"
SYSTXT_CHARAMAKE_NAME_MALE_00320,"Conrad"
SYSTXT_CHARAMAKE_NAME_MALE_00330,"Simon"
SYSTXT_CHARAMAKE_NAME_MALE_00340,"Zazi"
SYSTXT_CHARAMAKE_NAME_MALE_00350,"Thaddeus"
SYSTXT_CHARAMAKE_NAME_MALE_00360,"Zarif"
SYSTXT_CHARAMAKE_NAME_MALE_00370,"Salman"
SYSTXT_CHARAMAKE_NAME_MALE_00380,"Sivar"
SYSTXT_CHARAMAKE_NAME_MALE_00390,"Jimmy"
SYSTXT_CHARAMAKE_NAME_MALE_00400,"Jared"
SYSTXT_CHARAMAKE_NAME_MALE_00410,"Shun"
SYSTXT_CHARAMAKE_NAME_MALE_00420,"Jonas"
SYSTXT_CHARAMAKE_NAME_MALE_00430,"Stanley"
SYSTXT_CHARAMAKE_NAME_MALE_00440,"Serge"
SYSTXT_CHARAMAKE_NAME_MALE_00450,"Darfito"
SYSTXT_CHARAMAKE_NAME_MALE_00460,"Dalvey"
SYSTXT_CHARAMAKE_NAME_MALE_00470,"Chester"
SYSTXT_CHARAMAKE_NAME_MALE_00480,"Tesimard"
SYSTXT_CHARAMAKE_NAME_MALE_00490,"Ted"
SYSTXT_CHARAMAKE_NAME_MALE_00500,"Derik"
SYSTXT_CHARAMAKE_NAME_MALE_00510,"Domingo"
SYSTXT_CHARAMAKE_NAME_MALE_00520,"Tomekichi"
SYSTXT_CHARAMAKE_NAME_MALE_00530,"Nathaniel"
SYSTXT_CHARAMAKE_NAME_MALE_00540,"Naritav"
SYSTXT_CHARAMAKE_NAME_MALE_00550,"Nicholas"
SYSTXT_CHARAMAKE_NAME_MALE_00560,"Nathan"
SYSTXT_CHARAMAKE_NAME_MALE_00570,"Nelius"
SYSTXT_CHARAMAKE_NAME_MALE_00580,"Percy"
SYSTXT_CHARAMAKE_NAME_MALE_00590,"Vasilius"
SYSTXT_CHARAMAKE_NAME_MALE_00600,"Bakkar"
SYSTXT_CHARAMAKE_NAME_MALE_00610,"Vincent"
SYSTXT_CHARAMAKE_NAME_MALE_00620,"Fariel"
SYSTXT_CHARAMAKE_NAME_MALE_00630,"Felipe"
SYSTXT_CHARAMAKE_NAME_MALE_00640,"Hugo"
SYSTXT_CHARAMAKE_NAME_MALE_00650,"Fujics"
SYSTXT_CHARAMAKE_NAME_MALE_00660,"Franz"
SYSTXT_CHARAMAKE_NAME_MALE_00670,"Pedro"
SYSTXT_CHARAMAKE_NAME_MALE_00680,"Poe"
SYSTXT_CHARAMAKE_NAME_MALE_00690,"Joaquin"
SYSTXT_CHARAMAKE_NAME_MALE_00700,"Bob"
SYSTXT_CHARAMAKE_NAME_MALE_00710,"Matthew"
SYSTXT_CHARAMAKE_NAME_MALE_00720,"Martin"
SYSTXT_CHARAMAKE_NAME_MALE_00730,"Miguel"
SYSTXT_CHARAMAKE_NAME_MALE_00740,"Mick"
SYSTXT_CHARAMAKE_NAME_MALE_00750,"Mitchie"
SYSTXT_CHARAMAKE_NAME_MALE_00760,"Melvin"
SYSTXT_CHARAMAKE_NAME_MALE_00770,"Maurice"
SYSTXT_CHARAMAKE_NAME_MALE_00780,"Yang"
SYSTXT_CHARAMAKE_NAME_MALE_00790,"Ewin"
SYSTXT_CHARAMAKE_NAME_MALE_00800,"Joachim"
SYSTXT_CHARAMAKE_NAME_MALE_00810,"Lieber"
SYSTXT_CHARAMAKE_NAME_MALE_00820,"Lutz"
SYSTXT_CHARAMAKE_NAME_MALE_00830,"Leyton"
SYSTXT_CHARAMAKE_NAME_MALE_00840,"Raymond"
SYSTXT_CHARAMAKE_NAME_MALE_00850,"Lester"
SYSTXT_CHARAMAKE_NAME_MALE_00860,"Roger"
SYSTXT_CHARAMAKE_NAME_MALE_00870,"Robin"
SYSTXT_CHARAMAKE_NAME_MALE_00880,"Watt"
