Key,SourceString
SYSTXT_CHARAMAKE_HUMAN_00010,"Player"
SYSTXT_CHARAMAKE_HUMAN_01010,"Sibling"
SYSTXT_CHARAMAKE_HUMAN_02010,"Now create two characters:\nthe main character and their sibling."
SYSTXT_CHARAMAKE_HUMAN_42010,"Next, create the main characters sibling."
SYSTXT_CHARAMAKE_HUMAN_82010,"Are you sure you want to create an adventure\nlog with these two characters?"
SYSTXT_CHARAMAKE_HUMAN_83010,"Which character would you like to recreate?"
SYSTXT_CHARAMAKE_HUMAN_84010,"Do you want to return to the Adventure Log\nmenu? All progress will be lost. <lf><yesno 2><break>"
SYSTXT_CHARAMAKE_HUMAN_12010,"Please select the gender of your character."
SYSTXT_CHARAMAKE_HUMAN_52010,"What is your relationship to your sibling from\nyour perspective?"
SYSTXT_CHARAMAKE_HUMAN_22010,"Please select the main character's body type."
SYSTXT_CHARAMAKE_HUMAN_62010,"Please select your sibling's body type."
SYSTXT_CHARAMAKE_HUMAN_30150,"Create your character by choosing from the\navailable options."
SYSTXT_CHARAMAKE_HUMAN_30020,"Body type"
SYSTXT_CHARAMAKE_HUMAN_30040,"Hair style"
SYSTXT_CHARAMAKE_HUMAN_30060,"Hair color"
SYSTXT_CHARAMAKE_HUMAN_30080,"Face type"
SYSTXT_CHARAMAKE_HUMAN_30100,"Eye color"
SYSTXT_CHARAMAKE_HUMAN_30120,"Name"
SYSTXT_CHARAMAKE_HUMAN_30140,"Confirm"
SYSTXT_CHARAMAKE_HUMAN_31020,"Pick your character's body type."
SYSTXT_CHARAMAKE_HUMAN_33020,"Pick your character's hair style."
SYSTXT_CHARAMAKE_HUMAN_35020,"Please select your character's eye color."
SYSTXT_CHARAMAKE_HUMAN_30030,"Color {0}"
SYSTXT_CHARAMAKE_HUMAN_30070_02,"Blonde"
SYSTXT_CHARAMAKE_HUMAN_30070_01,"Caramel color"
SYSTXT_CHARAMAKE_HUMAN_30070_03,"Green apple"
SYSTXT_CHARAMAKE_HUMAN_30070_04,"Jade"
SYSTXT_CHARAMAKE_HUMAN_30070_05,"Aquamarine"
SYSTXT_CHARAMAKE_HUMAN_30070_06,"Aquamarine"
SYSTXT_CHARAMAKE_HUMAN_30070_07,"Lavender"
SYSTXT_CHARAMAKE_HUMAN_30070_08,"Peach"
SYSTXT_CHARAMAKE_HUMAN_30070_09,"Usubi"
SYSTXT_CHARAMAKE_HUMAN_30070_10,"Cherry"
SYSTXT_CHARAMAKE_HUMAN_30070_11,"Black"
SYSTXT_CHARAMAKE_HUMAN_30070_12,"Vanilla"
SYSTXT_CHARAMAKE_HUMAN_30110_02,"Cherry"
SYSTXT_CHARAMAKE_HUMAN_30110_05,"Red"
SYSTXT_CHARAMAKE_HUMAN_30110_08,"Blonde"
SYSTXT_CHARAMAKE_HUMAN_30110_07,"Caramel"
SYSTXT_CHARAMAKE_HUMAN_30110_06,"Ice blue"
SYSTXT_CHARAMAKE_HUMAN_30110_04,"Iris"
SYSTXT_CHARAMAKE_HUMAN_30110_03,"Lavender"
SYSTXT_CHARAMAKE_HUMAN_30110_01,"Black"
SYSTXT_CHARAMAKE_HUMAN_30110_09,"Green apple"
SYSTXT_CHARAMAKE_HUMAN_30110_10,"Jade"
SYSTXT_CHARAMAKE_HUMAN_30110_11,"Usubi color"
SYSTXT_CHARAMAKE_HUMAN_30110_12,"Vanilla"
SYSTXT_CHARAMAKE_HUMAN_30050,"Type {0}"
SYSTXT_CHARAMAKE_HUMAN_30090,"Type {0}"
SYSTXT_CHARAMAKE_HUMAN_32020,"Please choose your character's deity."
SYSTXT_CHARAMAKE_HUMAN_34020,"Pick your character's face type."
SYSTXT_CHARAMAKE_HUMAN_50010,"Please select your character's gender."
SYSTXT_CHARAMAKE_HUMAN_51010,"Male"
SYSTXT_CHARAMAKE_HUMAN_53010,"Older Sister"
