Key,SourceString
SYSTXT_CHARAMAKE_00010,"You"
SYSTXT_CHARAMAKE_00020,"sibling"
SYSTXT_CHARAMAKE_00030,"Anne"
SYSTXT_CHARAMAKE_00040,"Sibling"
SYSTXT_CHARAMAKE_00050,"Ani"
SYSTXT_CHARAMAKE_00060,"Father"
SYSTXT_CHARAMAKE_01010,"Pattern Playback"
SYSTXT_CHARAMAKE_01020,"Playback of voice"
SYSTXT_CHARAMAKE_01030,"Leave it to me"
SYSTXT_CHARAMAKE_10010,"You will now create two characters, your own character and <cf>a sibling character who lives with you. <cf><br_break>"
SYSTXT_CHARAMAKE_10020,"Please choose a <cf>style for your character. <cf><bw_break>"
SYSTXT_CHARAMAKE_10030,"You will return to <cf>choose your adventure book<cf> without saving your character. <cf><yesno><break>"
SYSTXT_CHARAMAKE_10040,"Please select a body type for your character. <cf><bw_break>"
SYSTXT_CHARAMAKE_10050,"Choose what you want to change<cf>and create your character. <cf><bw_break>"
SYSTXT_CHARAMAKE_10060,"You have not entered a name! <cf><bw_break>"
SYSTXT_CHARAMAKE_10070,"Is this what your character should look like? <cf><yesno><break>"
SYSTXT_CHARAMAKE_10080,"Next we will create your siblings <cf>character. <cf><br_break>"
SYSTXT_CHARAMAKE_10090,"We will create a book of adventures with these two characters. <cf>Are you sure? <cf><yesno><break>"
SYSTXT_CHARAMAKE_10100,"Which character would you like to recreate? <cf><bw_break>"
SYSTXT_CHARAMAKE_10110,"You will return to the Book of Adventures selection <cf>without saving your character? <cf><yesno><break>"
SYSTXT_CHARAMAKE_10120,"This name cannot be used. <cf><bw_break>"
SYSTXT_CHARAMAKE_20010,"Will you be reborn as {Tribe_Selected_Name}?"
SYSTXT_CHARAMAKE_20020,"Is {Job_Selected_Name} correct?"
SYSTXT_CHARAMAKE_30010,"Please choose the color of your character's body. <cf><bw_break>"
SYSTXT_CHARAMAKE_30020,"Please choose your character's hair color. <cf><bw_break>"
SYSTXT_CHARAMAKE_30030,"Please choose your character's bite color. <cf><bw_break>"
